caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
21,700,1.264,75838.1552,"Own your home with a mortgage or a loan","No","Mac","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Slightly confident","Self-employed","All",,"Yes","No","No","Yes","No","No, do not expect to return to the same employer","About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income","No",42,"35-44","30-44","Professional or Doctorate degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$200,000 to $249,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","mi",0,0,2,0,0,"Working self-employed"
28,267,1.4246,85474.1744,"Own your home with a mortgage or a loan","Yes","Mac","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,78,"75+","60+","Some college, no degree","Some college","Other, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$50,000 to $59,999","Widowed","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,1,0,0,"Not working retired"
31,513,.7395,44372.0466,"Own your home free and clear (without a mortgage or loan)","No","Mac","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",73,"65-74","60+","Masters degree","Bachelor's degree or higher","Black, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,2,0,0,"Working as a paid employee"
37,497,1.1446,68674.4999,"Own your home with a mortgage or a loan","No","Mac","Doing okay","No","Put it on my credit card and pay it off over time","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not working, but being paid my normal wages",,,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",75,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Female","Yes",1,"A one-family house attached to one or more houses","$50,000 to $59,999","Divorced","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,1,0,0,"Not working retired"
38,186,.8596,51574.9295,"Own your home with a mortgage or a loan","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","Some","None","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",52,"45-54","45-59","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","ok",0,1,2,0,0,"Working as a paid employee"
43,174,.629,37737.7948,"Own your home with a mortgage or a loan","Yes","iPad","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,76,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$40,000 to $49,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,1,0,0,"Not working retired"
44,2830,.9866,59194.9468,"Own your home free and clear (without a mortgage or loan)","Yes","iPhone","Doing okay","No","No","No","Using money from a bank loan or line of credit","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,77,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Not working retired"
47,461,.8075,48450.8079,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","None","Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,62,"55-64","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working as a paid employee"
48,189,1.2518,75106.6429,"Own your home free and clear (without a mortgage or loan)","Yes","Mac","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","Not enough precautions",,"Somewhat higher",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is higher than prior income",,57,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Hispanic","Male","Yes",2,"A one-family house detached from any other house","Less than $5,000","Divorced","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,2,0,0,"Not working looking for work"
49,245,.8325,49949.2998,"Own your home free and clear (without a mortgage or loan)","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","10 to 19","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",52,"45-54","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ri",0,0,2,0,0,"Working as a paid employee"
54,282,1.1765,70591.0744,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Finding it difficult to get by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","No","No","No","No","No","Other bills","Not at all confident","Not at all confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,84,"75+","60+","7th or 8th grade","Less than high school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$25,000 to $29,999","Married","Non-Metro","Northeast","New England","Owned or being bought by you or someone in your household","nh",0,0,2,0,0,"Not working retired"
61,420,.6751,40506.3702,"Pay rent","Yes","iPad","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,71,"65-74","60+","Bachelors degree","Bachelor's degree or higher","Black, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$50,000 to $59,999","Divorced","Metro","Midwest","East-North Central","Rented for cash","mi",0,0,1,0,0,"Not working retired"
66,429,.7977,47862.8447,"Refused","No","AndroidPhone","Just getting by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","No","Water, gas, or electric bill","No","No","No","No","Slightly confident","Slightly confident","Employed","None","10 to 19","Yes","No","No","No","No","Yes, already returned to work for the same employer","About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is higher than prior income","Yes, borrowed money",60,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$40,000 to $49,999","Divorced","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,2,0,0,"Working as a paid employee"
68,198,1.0176,61054.6871,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",57,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$175,000 to $199,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,2,0,0,"Working as a paid employee"
69,209,.751,45057.1049,"Own your home with a mortgage or a loan","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Not at all confident","Not at all confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions",,"Much lower","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income","Yes, borrowed money",55,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working as a paid employee"
71,210,.5253,31520.2719,"Pay rent","No","WinPC","Finding it difficult to get by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Can't pay some bills","No","No","Water, gas, or electric bill","Phone or cable bill","No","No","Other bills","Slightly confident","Slightly confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","Not enough precautions",,"Somewhat lower","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",46,"45-54","45-59","Some college, no degree","Some college","Hispanic","Male","Yes",4,"A building with 2 or more apartments","$50,000 to $59,999","Married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,3,0,1,"Not working disabled"
77,159,.7618,45706.2552,"Pay rent","No","AndroidPhone","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Slightly confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","Yes, employer expressed this is temporary but did not provide a return date","About the right amount of precautions",,"About the same","No","No",,,"No","No","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",37,"35-44","30-44","Some college, no degree","Some college","Other, Non-Hispanic","Male","Yes",3,"A building with 2 or more apartments","$50,000 to $59,999","Married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,2,0,1,"Working self-employed"
78,133,.751,45057.1049,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",52,"45-54","45-59","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,4,0,0,"Working as a paid employee"
79,101,.7702,46212.7282,"Own your home free and clear (without a mortgage or loan)","No","Mac","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed, but looking for a job",,,"No","Yes","No","No","No",,"Too many precautions",,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",55,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","No",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,2,0,0,"Working as a paid employee"
80,601,1.3295,79766.5893,"Pay rent","No","WinPC","Doing okay","No","Put it on my credit card and pay it off over time","No","Using money from a bank loan or line of credit","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, borrowed money",57,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$30,000 to $34,999","Married","Metro","South","South Atlantic","Rented for cash","nc",0,0,4,0,0,"Not working looking for work"
82,141,.7483,44896.6816,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat lower",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income",,58,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",2,"A one-family house detached from any other house","$85,000 to $99,999","Married","Non-Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","pa",0,0,2,0,0,"Not working retired"
86,211,.8919,53516.1261,"Pay rent","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","6 to 9","No","No","No","Yes","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",58,"55-64","45-59","Some college, no degree","Some college","Other, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Living with partner","Metro","West","Pacific","Rented for cash","ca",0,0,2,0,0,"Working as a paid employee"
91,214,.7309,43851.3859,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,83,"75+","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,2,0,0,"Not working retired"
94,149,3.8206,229234.71,"Own your home free and clear (without a mortgage or loan)","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Moderately confident","Self-employed","All",,"No","No","Yes","Yes","No",,"About the right amount of precautions","Cause you to work less","Somewhat lower",,,,,,"No","Applied for but not received","Applied for but not received","Did not apply for and did not receive","Applied for but not received","Applied for but not received",,"Yes, both",50,"45-54","45-59","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$60,000 to $74,999","Divorced","Metro","South","East-South Central","Rented for cash","al",0,0,1,0,0,"Not working other"
95,298,.6607,39640.5403,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","10 to 19","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",65,"65-74","60+","Associate degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,2,0,0,"Working as a paid employee"
99,517,1.2255,73527.2266,"Own your home with a mortgage or a loan","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","10 to 19","Yes","Yes","Yes","Yes","No","No, do not expect to return to the same employer","About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income","No",43,"35-44","30-44","Associate degree","Some college","White, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","nc",0,0,4,0,0,"Working as a paid employee"
