date,Residential_investment,GDP,RES_PCT_GDP
2020Q3,6406,83856.00,0.076392864
2020Q4,6820,84358.00,0.080845919
2021Q1,7022,86203.00,0.081458882
2021Q2,7128,88572.00,0.0804769
2021Q3,6632,86851.00,0.076360664
2021Q4,7575,91210.00,0.083050104
2022Q1,7742,91890.00,0.084252911
2022Q2,7888,93931.00,0.083976536
2022Q3,8335,96819.00,0.086088474
2022Q4,8118,98306.00,0.082578886
2023Q1,8086,99273.00,0.081452157
2023Q2,8199,101165.00,0.081045816
2023Q3,8165,102689.00,0.079511924
2023Q4,8086,102026.00,0.079254308
Table information:,,,
Units:,,,
"$, Magnitude = Millions",,,
,,,
Footnotes:,,,
 ,,,
Symbols:,,,
.. figure not available,,,
C: Confidential,,,
E: Early Estimate,,,
P: Provisional,,,
R: Revised,,,
S: Suppressed,,,
,,,
Status flags are not displayed,,,
,,,
Table reference: ,,,
SNE093AA,,,
,,,
Last updated:,,,
21 March 2024 10:45am,,,
,,,
Source: Statistics New Zealand,,,
Contact: Information Centre,,,
Telephone: 0508 525 525,,,
Email:info@stats.govt.nz,,,
