date,Over-the-counter equity securities
2006-01-01,133.298
2006-02-01,122.886
2006-03-01,119.859
2006-04-01,127.849
2006-05-01,131.481
2006-06-01,116.227
2006-07-01,116.832
2006-08-01,125.307
2006-09-01,108.841
2006-10-01,118.648
2006-11-01,132.692
2006-12-01,121.675
2007-01-01,128.455
2007-02-01,122.28
2007-03-01,130.271
2007-04-01,110.658
2007-05-01,129.06
2007-06-01,147.947
2007-07-01,154.121
2007-08-01,173.614
2007-09-01,135.114
2007-10-01,163.928
2007-11-01,164.533
2007-12-01,172.403
2008-01-01,160.78
2008-02-01,153.516
2008-03-01,173.614
2008-04-01,172.403
2008-05-01,176.156
2008-06-01,187.052
2008-07-01,180.394
2008-08-01,152.305
2008-09-01,173.008
2008-10-01,193.227
2008-11-01,175.43
2008-12-01,179.788
2009-01-01,147.342
2009-02-01,146.736
2009-03-01,140.077
2009-04-01,163.202
2009-05-01,133.903
2009-06-01,121.675
2009-07-01,133.903
2009-08-01,122.886
2009-09-01,106.42
2009-10-01,119.253
2009-11-01,114.29
2009-12-01,113.684
2010-01-01,107.025
2010-02-01,114.895
2010-03-01,107.631
2010-04-01,95.403
2010-05-01,118.648
2010-06-01,114.29
2010-07-01,94.192
2010-08-01,102.667
2010-09-01,99.64
2010-10-01,114.895
2010-11-01,125.912
2010-12-01,133.298
2011-01-01,105.209
2011-02-01,118.043
2011-03-01,108.841
2011-04-01,104.604
2011-05-01,84.991
2011-06-01,88.623
2011-07-01,119.253
2011-08-01,96.613
2011-09-01,97.219
2011-10-01,116.832
2011-11-01,103.757
2011-12-01,97.582
2012-01-01,93.95
2012-02-01,99.519
2012-03-01,105.573
2012-04-01,117.316
2012-05-01,101.335
2012-06-01,92.739
2012-07-01,93.345
2012-08-01,101.456
2012-09-01,88.502
2012-10-01,106.299
2012-11-01,111.263
2012-12-01,94.676
2013-01-01,98.308
2013-02-01,98.308
2013-03-01,94.071
2013-04-01,98.308
2013-05-01,108.115
2013-06-01,106.299
2013-07-01,124.096
2013-08-01,124.702
2013-09-01,109.447
2013-10-01,113.079
2013-11-01,118.043
2013-12-01,111.263
2014-01-01,119.496
2014-02-01,117.68
2014-03-01,113.442
2014-04-01,120.948
2014-05-01,108.357
2014-06-01,106.904
2014-07-01,111.142
2014-08-01,111.142
2014-09-01,108.357
2014-10-01,119.011
2014-11-01,112.595
2014-12-01,124.823
2015-01-01,118.285
2015-02-01,118.648
2015-03-01,118.285
2015-04-01,121.554
2015-05-01,120.101
2015-06-01,116.106
2015-07-01,120.827
2015-08-01,129.06
2015-09-01,121.191
2015-10-01,121.796
2015-11-01,121.917
2015-12-01,117.922
2016-01-01,116.227
2016-02-01,119.738
2016-03-01,112.231
2016-04-01,114.774
2016-05-01,110.779
2016-06-01,106.42
2016-07-01,108.72
2016-08-01,105.33
2016-09-01,105.936
2016-10-01,109.205
2016-11-01,122.886
2016-12-01,123.249
2017-01-01,123.007
2017-02-01,124.338
2017-03-01,122.038
2017-04-01,125.428
2017-05-01,131.603
2017-06-01,114.653
2017-07-01,117.437
2017-08-01,116.106
2017-09-01,112.716
2017-10-01,117.558
2017-11-01,126.518
2017-12-01,125.307
2018-01-01,127.365
2018-02-01,140.683
2018-03-01,132.934
2018-04-01,132.813
2018-05-01,125.307
2018-06-01,125.428
2018-07-01,127.728
2018-08-01,123.37
2018-09-01,115.137
2018-10-01,119.011
2018-11-01,125.065
2018-12-01,132.087
2019-01-01,125.791
2019-02-01,113.805
2019-03-01,120.222
2019-04-01,118.164
2019-05-01,137.898
2019-06-01,131.481
2019-07-01,122.886
2019-08-01,141.046
2019-09-01,136.203
2019-10-01,134.508
2019-11-01,129.302
2019-12-01,133.419
2020-01-01,132.087
2020-02-01,143.831
2020-03-01,201.581
2020-04-01,215.988
2020-05-01,172.161
2020-06-01,166.471
2020-07-01,187.416
2020-08-01,194.68
2020-09-01,227.126
2020-10-01,260.178
2020-11-01,222.889
2020-12-01,224.826
2021-01-01,207.15
2021-02-01,255.578
2021-03-01,272.77
2021-04-01,246.376
2021-05-01,248.192
2021-06-01,252.43
2021-07-01,293.472
