job_creation_births,job_creation_births_flag,year,empszfii,fage
388179,,1992,10-19 Employees,10
654638,,1992,20-99 Employees,10
280565,,1992,100-499 Employees,10
623071,,1991,1-4 Employees,10
446021,,1991,5-9 Employees,10
412975,,1991,10-19 Employees,10
671593,,1991,20-99 Employees,10
287292,,1991,100-499 Employees,10
680456,,1990,1-4 Employees,10
507137,,1990,5-9 Employees,10
457878,,1990,10-19 Employees,10
777893,,1990,20-99 Employees,10
354574,,1990,100-499 Employees,10
692544,,1989,1-4 Employees,10
511968,,1989,5-9 Employees,10
475551,,1989,10-19 Employees,10
811233,,1989,20-99 Employees,10
364825,,1989,100-499 Employees,10
702703,,1988,1-4 Employees,10
512796,,1988,5-9 Employees,10
457579,,1988,10-19 Employees,10
772395,,1988,20-99 Employees,10
363072,,1988,100-499 Employees,10
707616,,1987,1-4 Employees,10
522889,,1987,5-9 Employees,10
477473,,1987,10-19 Employees,10
827498,,1987,20-99 Employees,10
433225,,1987,100-499 Employees,10
716946,,1986,1-4 Employees,10
529360,,1986,5-9 Employees,10
471857,,1986,10-19 Employees,10
802815,,1986,20-99 Employees,10
326141,,1986,100-499 Employees,10
715540,,1985,1-4 Employees,10
519333,,1985,5-9 Employees,10
469652,,1985,10-19 Employees,10
753522,,1985,20-99 Employees,10
302906,,1985,100-499 Employees,10
745942,,1984,1-4 Employees,10
528208,,1984,5-9 Employees,10
457797,,1984,10-19 Employees,10
712529,,1984,20-99 Employees,10
257446,,1984,100-499 Employees,10
636214,,1983,1-4 Employees,10
445854,,1983,5-9 Employees,10
399612,,1983,10-19 Employees,10
644327,,1983,20-99 Employees,10
246374,,1983,100-499 Employees,10
586849,,1982,1-4 Employees,10
408122,,1982,5-9 Employees,10
374105,,1982,10-19 Employees,10
598706,,1982,20-99 Employees,10
229891,,1982,100-499 Employees,10
583544,,1981,1-4 Employees,10
435116,,1981,5-9 Employees,10
407043,,1981,10-19 Employees,10
648687,,1981,20-99 Employees,10
261595,,1981,100-499 Employees,10
608394,,1980,1-4 Employees,10
426671,,1980,5-9 Employees,10
393077,,1980,10-19 Employees,10
582688,,1980,20-99 Employees,10
191008,,1980,100-499 Employees,10
654874,,1979,1-4 Employees,10
460630,,1979,5-9 Employees,10
435764,,1979,10-19 Employees,10
618707,,1979,20-99 Employees,10
195799,,1979,100-499 Employees,10
673613,,1978,1-4 Employees,10
466405,,1978,5-9 Employees,10
446217,,1978,10-19 Employees,10
680786,,1978,20-99 Employees,10
230242,,1978,100-499 Employees,10
87597,,2021,500+ Employees,10
70301,,2020,500+ Employees,10
96891,,2019,500+ Employees,10
117637,,2018,500+ Employees,10
81785,,2017,500+ Employees,10
72323,,2016,500+ Employees,10
94140,,2015,500+ Employees,10
95837,,2014,500+ Employees,10
83738,,2013,500+ Employees,10
78940,,2012,500+ Employees,10
77990,,2011,500+ Employees,10
134944,,2010,500+ Employees,10
121050,,2009,500+ Employees,10
101154,,2008,500+ Employees,10
112398,,2007,500+ Employees,10
93750,,2006,500+ Employees,10
207765,,2005,500+ Employees,10
116886,,2004,500+ Employees,10
136769,,2003,500+ Employees,10
184787,,2002,500+ Employees,10
118577,,2001,500+ Employees,10
121662,,2000,500+ Employees,10
139375,,1999,500+ Employees,10
154549,,1998,500+ Employees,10
136595,,1997,500+ Employees,10
127891,,1996,500+ Employees,10
119559,,1995,500+ Employees,10
107312,,1994,500+ Employees,10
107022,,1993,500+ Employees,10
125618,,1992,500+ Employees,10
106446,,1991,500+ Employees,10
118366,,1990,500+ Employees,10
137090,,1989,500+ Employees,10
236347,,1988,500+ Employees,10
424805,,1987,500+ Employees,10
122963,,1986,500+ Employees,10
207295,,1985,500+ Employees,10
216651,,1984,500+ Employees,10
215740,,1983,500+ Employees,10
73065,,1982,500+ Employees,10
55783,,1981,500+ Employees,10
28409,,1980,500+ Employees,10
54773,,1979,500+ Employees,10
48247,,1978,500+ Employees,10
