CSA,CBSA,Name,Total_2023,SF_2023,Duplex_2023,Tri_Quad_2023,5_Plus_2023,Total_2022,SF_2022,Duplex_2022,Tri_Quad_2022,5_Plus_2022
482,41620,"Salt Lake City, UT                                          ",9199,3127,96,294,5682,10102,3992,84,94,5932
999,41660,"San Angelo, TX                                              ",252,252,0,0,0,322,322,0,0,0
484,41700,"San Antonio-New Braunfels, TX                               ",16519,8756,476,39,7248,24339,10226,192,183,13738
999,41740,"San Diego-Chula Vista-Carlsbad, CA                          ",11468,3048,208,260,7952,9346,3517,114,374,5341
488,41860,"San Francisco-Oakland-Berkeley, CA                          ",7478,3037,72,89,4280,11204,3370,84,154,7596
488,41940,"San Jose-Sunnyvale-Santa Clara, CA                          ",6288,2200,16,8,4064,8207,3899,22,8,4278
999,42020,"San Luis Obispo-Paso Robles, CA                             ",997,590,6,3,398,1111,634,22,36,419
488,42100,"Santa Cruz-Watsonville, CA                                  ",546,248,10,10,278,608,403,2,3,200
106,42140,"Santa Fe, NM                                                ",926,264,0,0,662,590,177,14,0,399
999,42200,"Santa Maria-Santa Barbara, CA                               ",449,353,22,9,65,1096,376,8,23,689
488,42220,"Santa Rosa-Petaluma, CA                                     ",2353,1020,0,12,1321,2264,954,4,7,1299
496,42340,"Savannah, GA                                                ",3408,2635,16,0,757,3194,2228,136,93,737
999,42540,"Scranton--Wilkes-Barre, PA                                  ",497,414,34,24,25,609,525,26,12,46
500,42660,"Seattle-Tacoma-Bellevue, WA                                 ",17254,6053,764,550,9887,26661,7029,934,718,17980
370,42680,"Sebastian-Vero Beach, FL                                    ",1009,768,38,12,191,1183,1141,30,12,0
999,42700,"Sebring-Avon Park, FL                                       ",712,626,34,0,52,663,641,22,0,0
999,43100,"Sheboygan, WI                                               ",539,172,16,0,351,146,118,28,0,0
206,43300,"Sherman-Denison, TX                                         ",2449,1168,22,0,1259,2220,1498,134,0,588
508,43340,"Shreveport-Bossier City, LA                                 ",922,904,8,3,7,915,915,0,0,0
999,43420,"Sierra Vista-Douglas, AZ                                    ",506,506,0,0,0,529,508,2,11,8
999,43580,"Sioux City, IA-NE-SD                                        ",352,206,2,40,104,449,282,4,34,129
999,43620,"Sioux Falls, SD                                             ",3448,1180,46,132,2090,5554,1626,24,234,3670
515,43780,"South Bend-Mishawaka, IN-MI                                 ",434,376,40,0,18,742,429,4,0,309
273,43900,"Spartanburg, SC                                             ",2867,2824,2,0,41,2596,2596,0,0,0
518,44060,"Spokane-Spokane Valley, WA                                  ",3904,1689,216,70,1929,4022,2022,148,56,1796
522,44100,"Springfield, IL                                             ",201,164,32,0,5,210,146,22,0,42
999,44140,"Springfield, MA                                             ",624,418,16,4,186,740,431,30,4,275
999,44180,"Springfield, MO                                             ",2167,1570,106,65,426,1706,1415,44,18,229
212,44220,"Springfield, OH                                             ",215,107,0,68,40,183,112,0,51,20
378,41060,"St. Cloud, MN                                               ",567,410,6,4,147,696,431,0,0,265
999,41100,"St. George, UT                                              ",2841,2146,10,41,644,3196,2486,0,40,670
312,41140,"St. Joseph, MO-KS                                           ",96,82,2,0,12,95,87,8,0,0
476,41180,"St. Louis, MO-IL                                            ",7300,4508,60,151,2581,9131,4743,94,92,4202
524,44300,"State College, PA                                           ",355,302,0,12,41,657,291,12,16,338
277,44420,"Staunton, VA                                                ",605,415,6,3,181,442,379,6,0,57
488,44700,"Stockton, CA                                                ",2170,2167,0,3,0,3751,3163,28,0,560
999,44940,"Sumter, SC                                                  ",472,434,38,0,0,502,402,64,0,36
532,45060,"Syracuse, NY                                                ",526,478,0,3,45,580,466,22,0,92
999,45220,"Tallahassee, FL                                             ",2694,1437,20,0,1237,3056,1393,18,0,1645
999,45300,"Tampa-St. Petersburg-Clearwater, FL                         ",25395,14827,180,381,10007,29969,15678,200,798,13293
999,45460,"Terre Haute, IN                                             ",149,127,14,3,5,216,118,20,24,54
999,45500,"Texarkana, TX-AR                                            ",217,81,98,8,30,161,130,18,8,5
422,45540,"The Villages, FL                                            ",3339,3339,0,0,0,4551,3723,0,0,828
534,45780,"Toledo, OH                                                  ",1352,802,108,0,442,1119,653,14,16,436
999,45820,"Topeka, KS                                                  ",345,301,44,0,0,429,413,16,0,0
408,45940,"Trenton-Princeton, NJ                                       ",978,417,2,0,559,643,165,0,7,471
536,46060,"Tucson, AZ                                                  ",5255,3688,138,10,1419,5714,3735,62,12,1905
538,46140,"Tulsa, OK                                                   ",5111,3495,92,47,1477,5123,3843,42,24,1214
999,46220,"Tuscaloosa, AL                                              ",696,576,30,29,61,1043,714,4,54,271
999,46300,"Twin Falls, ID                                              ",455,384,26,36,9,605,483,22,0,100
540,46340,"Tyler, TX                                                   ",757,468,186,90,13,830,701,62,32,35
999,46520,"Urban Honolulu, HI                                          ",1851,657,146,7,1041,2553,652,144,0,1757
999,46540,"Utica-Rome, NY                                              ",242,184,0,0,58,324,244,0,4,76
999,46660,"Valdosta, GA                                                ",913,882,6,0,25,1302,1280,22,0,0
488,46700,"Vallejo, CA                                                 ",1416,940,0,0,476,1154,948,0,0,206
544,47020,"Victoria, TX                                                ",90,62,0,28,0,204,204,0,0,0
428,47220,"Vineland-Bridgeton, NJ                                      ",112,112,0,0,0,120,115,0,0,5
545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC                  ",6114,3393,22,25,2674,6313,3680,34,15,2584
999,47300,"Visalia, CA                                                 ",1175,1045,58,3,69,2385,1420,46,0,919
999,47380,"Waco, TX                                                    ",1741,732,82,80,847,1349,920,50,0,379
313,47460,"Walla Walla, WA                                             ",242,184,26,0,32,178,120,58,0,0
356,47580,"Warner Robins, GA                                           ",1845,1167,2,0,676,2495,1445,0,0,1050
548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV                ",23034,10845,80,58,12051,32393,11657,80,20,20636
999,47940,"Waterloo-Cedar Falls, IA                                    ",484,240,16,6,222,264,187,30,4,43
999,48060,"Watertown-Fort Drum, NY                                     ",190,190,0,0,0,179,176,0,3,0
554,48140,"Wausau-Weston, WI                                           ",573,323,22,23,205,487,351,12,0,124
430,48260,"Weirton-Steubenville, WV-OH                                 ",15,15,0,0,0,33,33,0,0,0
999,48300,"Wenatchee, WA                                               ",589,506,10,7,66,861,570,10,36,245
999,48540,"Wheeling, WV-OH                                             ",13,10,0,3,0,18,14,4,0,0
999,48660,"Wichita Falls, TX                                           ",263,202,6,9,46,378,162,0,0,216
556,48620,"Wichita, KS                                                 ",2676,1494,778,26,378,2850,1586,806,62,396
558,48700,"Williamsport, PA                                            ",87,67,0,0,20,113,70,0,0,43
999,48900,"Wilmington, NC                                              ",3829,2082,144,68,1535,4421,2489,142,14,1776
548,49020,"Winchester, VA-WV                                           ",1002,1002,0,0,0,1041,741,0,0,300
268,49180,"Winston-Salem, NC                                           ",5028,3521,10,3,1494,4050,3983,4,3,60
148,49340,"Worcester, MA-CT                                            ",1388,962,118,11,297,2252,1172,94,10,976
999,49420,"Yakima, WA                                                  ",648,453,56,81,58,706,426,40,81,159
276,49620,"York-Hanover, PA                                            ",1143,941,8,24,170,1362,1062,8,0,292
566,49660,"Youngstown-Warren-Boardman, OH-PA                           ",299,291,0,8,0,364,347,2,3,12
472,49700,"Yuba City, CA                                               ",624,586,20,0,18,738,592,28,0,118
999,49740,"Yuma, AZ                                                    ",873,761,20,4,88,852,728,22,4,98
