Date of data,Commodity code,Commodity,Trading partner code,Trading partner,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",133,Republic of Korea,14,Number of item,0,Kilogram,"64,918"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",137,T¨¹rkiye,3,Number of item,0,Kilogram,"5,710"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",138,United Arab Emirates,3,Number of item,0,Kilogram,"20,902"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",215,Egypt,1,Number of item,0,Kilogram,"3,000"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",232,Morocco,1,Number of item,0,Kilogram,"1,200"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",246,Sudan,24,Number of item,0,Kilogram,"149,640"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",252,"Democratic Republic of Congo",10,Number of item,0,Kilogram,"9,599"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",254,Zimbabwe,1,Number of item,0,Kilogram,"1,650"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",303,United Kingdom,1,Number of item,0,Kilogram,"2,365"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",304,Germany,47,Number of item,0,Kilogram,"244,779"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",307,Italy,36,Number of item,0,Kilogram,"133,200"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",311,Portugal,6,Number of item,0,Kilogram,"4,950"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",315,Austria,2,Number of item,0,Kilogram,"8,935"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",326,Norway,1,Number of item,0,Kilogram,"67,500"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",330,Sweden,20,Number of item,0,Kilogram,"96,110"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",344,Russia,6,Number of item,0,Kilogram,"44,870"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",410,Brazil,13,Number of item,0,Kilogram,"10,190"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",412,Chile,1,Number of item,0,Kilogram,"1,900"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",415,Costa Rica,1,Number of item,0,Kilogram,"16,096"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",429,Mexico,1,Number of item,0,Kilogram,"2,230"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",444,Uruguay,2,Number of item,0,Kilogram,"30,200"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",501,Canada,1,Number of item,0,Kilogram,"2,330"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",502,United States,2,Number of item,0,Kilogram,"3,865"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",601,Australia,2,Number of item,0,Kilogram,"2,960"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",609,New Zealand,10,Number of item,0,Kilogram,"26,565"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",301,Belgium,178,Number of item,0,Kilogram,"6,983,451"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",304,Germany,11,Number of item,0,Kilogram,"318,229"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",412,Chile,1,Number of item,0,Kilogram,"48,719"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",434,Peru,1,Number of item,0,Kilogram,"24,500"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",501,Canada,4,Number of item,0,Kilogram,"306,548"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",502,United States,142,Number of item,0,Kilogram,"7,121,486"
201802,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",601,Australia,2,Number of item,0,Kilogram,"58,202"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",103,Bangladesh,5184,Number of item,0,Kilogram,"4,071,233"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",111,India,615,Number of item,0,Kilogram,"288,762"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",113,Iran,1,Number of item,0,Kilogram,"35,305"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",114,Iraq,28,Number of item,0,Kilogram,"12,880"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",115,Israel,20,Number of item,0,Kilogram,"80,148"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",116,Japan,13,Number of item,0,Kilogram,"39,878"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",121,"Macao,China",1,Number of item,0,Kilogram,"38,362"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",122,Malaysia,1,Number of item,0,Kilogram,"1,750"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",127,Pakistan,3,Number of item,0,Kilogram,"1,520"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",129,Philippines,173,Number of item,0,Kilogram,"57,957"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",130,Qatar,3,Number of item,0,Kilogram,"6,381"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",133,Republic of Korea,369,Number of item,0,Kilogram,"1,239,514"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",136,Thailand,8,Number of item,0,Kilogram,"63,144"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",137,T¨¹rkiye,122,Number of item,0,Kilogram,"72,311"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",138,United Arab Emirates,7,Number of item,0,Kilogram,"42,170"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",141,Viet Nam,4,Number of item,0,Kilogram,"15,540"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",143,"Taiwan,China",1,Number of item,0,Kilogram,"2,800"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",145,Kazakhstan,24,Number of item,0,Kilogram,"15,600"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",217,Ethiopia,2,Number of item,0,Kilogram,"1,444"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",302,Denmark,92,Number of item,0,Kilogram,"173,837"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",304,Germany,54,Number of item,0,Kilogram,"347,494"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",305,France,3,Number of item,0,Kilogram,"15,300"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",307,Italy,34,Number of item,0,Kilogram,"381,385"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",309,Netherlands,5,Number of item,0,Kilogram,"11,425"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",310,Greece,57,Number of item,0,Kilogram,"182,907"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",311,Portugal,5,Number of item,0,Kilogram,"14,600"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",315,Austria,1,Number of item,0,Kilogram,"2,100"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",318,Finland,56,Number of item,0,Kilogram,"105,820"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",330,Sweden,71,Number of item,0,Kilogram,"268,136"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",331,Switzerland,2,Number of item,0,Kilogram,"9,914"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",340,Belarus,2,Number of item,0,Kilogram,"33,200"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",344,Russia,2,Number of item,0,Kilogram,"3,500"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",347,Ukraine,780,Number of item,0,Kilogram,"223,095"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",351,Croatia,2,Number of item,0,Kilogram,"7,600"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",352,"Czechia(Czech Republic)",15,Number of item,0,Kilogram,"76,577"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",353,Slovakia,8,Number of item,0,Kilogram,"90,000"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",402,Argentina,2,Number of item,0,Kilogram,"44,000"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",404,Bahamas,4,Number of item,0,Kilogram,"114,070"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",405,Barbados,1,Number of item,0,Kilogram,"25,000"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",412,Chile,1,Number of item,0,Kilogram,"2,846"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",415,Costa Rica,28,Number of item,0,Kilogram,"74,419"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",418,Dominican Republic,1,Number of item,0,Kilogram,"10,090"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",429,Mexico,13,Number of item,0,Kilogram,"63,442"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",432,Panama,1,Number of item,0,Kilogram,"1,300"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",444,Uruguay,1,Number of item,0,Kilogram,"22,000"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",501,Canada,191,Number of item,0,Kilogram,"60,960"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",502,United States,2,Number of item,0,Kilogram,"1,886"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",601,Australia,20,Number of item,0,Kilogram,"10,037"
201802,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",609,New Zealand,1,Number of item,0,Kilogram,"1,500"
201803,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",133,Republic of Korea,3,Number of item,0,Kilogram,"126,000"
201803,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",301,Belgium,109,Number of item,0,Kilogram,"4,616,552"
201803,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",304,Germany,19,Number of item,0,Kilogram,"545,781"
201803,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",330,Sweden,1,Number of item,0,Kilogram,"102,623"
201803,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",502,United States,68,Number of item,0,Kilogram,"3,355,736"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",103,Bangladesh,1792,Number of item,0,Kilogram,"1,462,675"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",105,Brunei,4,Number of item,0,Kilogram,"3,760"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",110,"Hong Kong,China",1,Number of item,0,Kilogram,"33,215"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",111,India,583,Number of item,0,Kilogram,"309,701"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",115,Israel,30,Number of item,0,Kilogram,"147,620"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",130,Qatar,9,Number of item,0,Kilogram,"18,230"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",131,Saudi Arabia,3,Number of item,0,Kilogram,"23,700"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",133,Republic of Korea,271,Number of item,0,Kilogram,"1,413,567"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",134,Sri Lanka,3,Number of item,0,Kilogram,"5,312"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",136,Thailand,4,Number of item,0,Kilogram,"25,400"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",138,United Arab Emirates,1,Number of item,0,Kilogram,"7,636"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",145,Kazakhstan,108,Number of item,0,Kilogram,"55,040"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",215,Egypt,1,Number of item,0,Kilogram,"3,000"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",227,Madagascar,20,Number of item,0,Kilogram,"11,496"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",246,Sudan,1,Number of item,0,Kilogram,"2,150"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",302,Denmark,16,Number of item,0,Kilogram,"36,240"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",304,Germany,2,Number of item,0,Kilogram,"57,406"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",305,France,19,Number of item,0,Kilogram,"57,878"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",307,Italy,18,Number of item,0,Kilogram,"201,009"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",311,Portugal,3,Number of item,0,Kilogram,"4,263"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",312,Spain,1,Number of item,0,Kilogram,"5,300"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",322,Iceland,27,Number of item,0,Kilogram,"17,954"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",327,Poland,7,Number of item,0,Kilogram,"57,010"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",330,Sweden,2,Number of item,0,Kilogram,"22,120"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",347,Ukraine,2,Number of item,0,Kilogram,540
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",422,Guadeloupe,1,Number of item,0,Kilogram,"3,000"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",429,Mexico,3,Number of item,0,Kilogram,"14,400"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",432,Panama,1,Number of item,0,Kilogram,"12,610"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",502,United States,17,Number of item,0,Kilogram,"126,784"
201803,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",609,New Zealand,1,Number of item,0,Kilogram,"4,250"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",133,Republic of Korea,1,Number of item,0,Kilogram,"42,557"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",301,Belgium,62,Number of item,0,Kilogram,"2,826,720"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",303,United Kingdom,1,Number of item,0,Kilogram,"18,000"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",304,Germany,11,Number of item,0,Kilogram,"360,014"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",330,Sweden,6,Number of item,0,Kilogram,"559,296"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",412,Chile,1,Number of item,0,Kilogram,"24,500"
201804,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",502,United States,521,Number of item,0,Kilogram,"24,899,074"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",103,Bangladesh,7632,Number of item,0,Kilogram,"6,239,570"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",111,India,828,Number of item,0,Kilogram,"339,200"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",114,Iraq,147,Number of item,0,Kilogram,"56,900"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",115,Israel,38,Number of item,0,Kilogram,"148,426"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",123,Maldives,2,Number of item,0,Kilogram,"2,349"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",124,Mongolia,1,Number of item,0,Kilogram,"8,524"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",129,Philippines,169,Number of item,0,Kilogram,"217,459"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",130,Qatar,3,Number of item,0,Kilogram,"11,400"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",132,Singapore,2,Number of item,0,Kilogram,600
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",133,Republic of Korea,200,Number of item,0,Kilogram,"462,680"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",215,Egypt,6,Number of item,0,Kilogram,"29,139"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",223,Cote d'lvoire,1,Number of item,0,Kilogram,"8,014"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",244,South Africa,1,Number of item,0,Kilogram,200
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",302,Denmark,25,Number of item,0,Kilogram,"52,683"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",303,United Kingdom,1,Number of item,0,Kilogram,"1,300"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",304,Germany,37,Number of item,0,Kilogram,"177,686"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",307,Italy,15,Number of item,0,Kilogram,"102,735"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",309,Netherlands,21,Number of item,0,Kilogram,"50,038"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",310,Greece,4,Number of item,0,Kilogram,"21,480"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",311,Portugal,72,Number of item,0,Kilogram,"35,640"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",313,Albania,6,Number of item,0,Kilogram,"16,548"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",322,Iceland,1,Number of item,0,Kilogram,"1,300"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",327,Poland,4,Number of item,0,Kilogram,"16,000"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",330,Sweden,30,Number of item,0,Kilogram,"127,151"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",331,Switzerland,7,Number of item,0,Kilogram,"20,860"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",337,Georgia(Before 2023),10,Number of item,0,Kilogram,"8,017"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",344,Russia,13,Number of item,0,Kilogram,"41,190"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",347,Ukraine,3,Number of item,0,Kilogram,"3,770"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",350,Slovenia,2,Number of item,0,Kilogram,"9,800"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",352,"Czechia(Czech Republic)",5,Number of item,0,Kilogram,"7,500"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",402,Argentina,1,Number of item,0,Kilogram,"32,000"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",406,Belize,2,Number of item,0,Kilogram,"6,850"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",410,Brazil,5,Number of item,0,Kilogram,"19,965"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",412,Chile,1,Number of item,0,Kilogram,"3,277"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",413,Colombia,4,Number of item,0,Kilogram,"10,364"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",415,Costa Rica,1,Number of item,0,Kilogram,"5,291"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",429,Mexico,1,Number of item,0,Kilogram,"2,797"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",501,Canada,2,Number of item,0,Kilogram,"6,800"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",502,United States,17,Number of item,0,Kilogram,"90,560"
201804,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",609,New Zealand,5,Number of item,0,Kilogram,"13,865"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",115,Israel,1,Number of item,0,Kilogram,"46,324"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",129,Philippines,4,Number of item,0,Kilogram,"140,000"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",133,Republic of Korea,4,Number of item,0,Kilogram,"150,462"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",138,United Arab Emirates,1,Number of item,0,Kilogram,"24,228"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",301,Belgium,11,Number of item,0,Kilogram,"483,146"
201805,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",304,Germany,4,Number of item,0,Kilogram,"114,163"
