GP19A9,German,English,Unit
0892 10 101,"Schwarztorf für gärtnerische Zwecke, ohne Nährstoffe und Kalkung, lose als Rohstoff und zur Bodenverbesserung oder verpackt","Schwarztorf for gardening purposes, without nutrients and limbs, loosely as a raw material and for the soil improvement or packaged",1000 m3
0892 10 103,"Blumenerde für Hobbygarten, verpackt","Potting soil for hobby garden, packaged",1000 m3
0892 10 106,"Weißtorf für gärtnerische Zwecke, ohne Nährstoffe und Kalkung, lose oder verpackt als Rohstoff und zur Bodenverbesserung","Weißtorf for gardening purposes, without nutrients and limbs, loosely or packaged as a raw material and for the soil improvement",1000 m3
0892 10 109,"Gärtnerische Kultursubstrate (Weiß- und Schwarztorf), lose oder verpackt in Ballen und Säcken, aufgedüngt und gekalkt","Gardening cultural substrates (white and Schwarztorf), loose or packed in bale and sacks, fertilized and limed",1000 m3
0893 10 001,Steinsalz (bergmännisch gewonnen),Rock salt (climbed mining),t
0893 10 005,"Siedesalz, reines Natriumchlorid","Siedesalz, pure sodium chloride",t
0893 10 008,"Meersalz aus Sonnenverdampfung, Salzsole (NaCI-Gehalt)","Sea salt from sun evaporation, salt sole (Naci content)",t
0899 10 000,Naturbitumen und Naturasphalt; Asphaltite und Asphaltgestein,Natural bitumen and natural asphalt; Asphaltite and asphalt rock,t
0899 21 000,"Diamanten und Edelsteine (ohne Industriediamanten), roh oder nur gesägt, gespalten oder rau geschliffen oder grob geformt","Diamonds and gemstones (without industrial diamonds), raw or only sawn, split or roughly sanded or roughly shaped",Kt
0899 22 000,"Industriediamanten, roh oder nur gesägt, gespalten oder rau geschliffen; Bimsstein; Schmirgel; natürlicher Korund, natürlicher Granat u.a. natürliche Schleifstoffe","Industrial diamonds, raw or just sawn, split or roughly sanded; Pumice; Emery; natural corundum, natural grenade etc.",t
0899 29 000,"Andere mineralische Stoffe, a.n.g.","Other mineral fabrics, A.N.G.",t
0899 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
0910 11 000,Bohrungsarbeiten für die Erdöl- und Erdgasgewinnung,Horse work for oil and gas extraction,EUR
0910 12 000,"Installations-, Reparatur-, Instandhaltungs- und Abbauarbeiten von Bohranlagen für die Erdöl- und Erdgasgewinnung sowie andere damit verbundene Dienstleistungen","Installation, repair, maintenance and dismantling work of drilling systems for oil and natural gas extraction as well as other associated services",EUR
0910 13 000,Verflüssigung und Rückumwandlung von Erdgas zu Transportzwecken am Gewinnungsort,Liquefaction and back conversion of natural gas to transport purposes at the place of extraction,EUR
0990 11 000,"Dienstleistungen für die Steinkohlegewinnung (z.B. Reinigen, Sortieren, Klassieren, Zerkleinern, Agglomerieren)","Charcoal generation services (e.g. cleaning, sorting, classifying, shredding, agglomeration)",EUR
0990 19 000,"Dienstleistungen für den sonstigen Bergbau und für die sonstige Gewinnung von Steinen und Erden, a.n.g. (z.B. Sprengungen für die Braunkohlengewinnung)","Services for other mining and for the other extraction of stones and earths, A.N.G. (e.g. blasting for lignite extraction)",EUR
1011 11 403,von Kälbern und Jungrindern (Schlachtalter bis 12 Monate),of calves and young cattle (slaughter age up to 12 months),kg
1011 11 405,von anderen Rindern,from other cattle,kg
1011 11 900,Andere frische oder gekühlte Rindfleischteile,Other fresh or chilled beef parts,kg
1011 12 300,Schweinekörper (ganze oder halbe Tierkörper),Pig body (whole or half the body),kg
1011 12 500,"Schweineschinken oder -schultern und Teile davon, mit Knochen","Pork ham or dumpling and parts of it, with bones",kg
1011 12 900,Andere frische oder gekühlte Schweinefleischteile,Other fresh or chilled pork parts,kg
1011 13 000,"Lamm- oder Schaffleisch, frisch oder gekühlt","Lamb or sheep meat, fresh or chilled",kg
1011 14 000,"Ziegenfleisch, frisch oder gekühlt","Goat meat, fresh or chilled",kg
1011 15 000,"Fleisch von Pferden, Eseln, Maultieren oder Mauleseln, frisch oder gekühlt","Meat from horses, donkeys, mules or mules, fresh or chilled",kg
1011 20 003,für pharmazeutische Zwecke,For pharmaceutical purposes,kg
1011 20 009,für andere Zwecke,for other purposes,kg
1011 31 000,"Rindfleisch, gefroren","Beef, frozen",kg
1011 32 300,Schweinekörper (ganze oder halbe Tierkörper),Pig body (whole or half the body),kg
1011 32 500,"Schweineschinken oder -schultern und Teile davon, mit Knochen","Pork ham or dumpling and parts of it, with bones",kg
1011 32 900,Andere gefrorene Schweinefleischteile,Other frozen pork parts,kg
1011 33 000,"Lamm- oder Schaffleisch, gefroren","Lamb or sheep meat, frozen",kg
1011 34 000,"Ziegenfleisch, gefroren","Goat meat, frozen",kg
1011 35 000,"Fleisch von Pferden, Eseln, Maultieren oder Mauleseln, gefroren","Meat from horses, donkeys, mules or mules, frozen",kg
1011 39 100,"Genießbare Schlachtnebenerzeugnisse von Rindern, Schweinen, Schafen, Ziegen, Pferden, Eseln, Maultieren oder Mauleseln, gefroren","Enjoyable slaughter products of cattle, pigs, sheep, goats, horses, donkeys, mules or mules, frozen",kg
1011 39 300,"Anderes Fleisch u.a. Schlachtnebenerzeugnisse von Kaninchen, Wild usw. (ohne Froschschenkel)","Other meat, among others, slaughter products from rabbits, wild, etc. (without frog leg)",kg
1011 41 000,"Schweißwolle (ohne Schurwolle), nicht gekrempelt oder gekämmt","Welding wool (without a new wool), not choked or combed",kg
1011 42 000,"Ganze rohe Häute und Felle von Rindern, Pferden u.a. Einhufern (frisch, gesalzen usw., jedoch weder gegerbt noch zugerichtet), auch enthaart oder gespalten","Whole raw skins and skins of cattle, horses, etc. In the case of lift (fresh, salted, etc., but neither tanned nor excited), also deported or split",St
1011 43 000,"Andere rohe Häute und Felle von Rindern, Pferden u.a. Einhufern (frisch, gesalzen usw., jedoch weder gegerbt noch zugerichtet), auch enthaart usw.","Other raw skins and skins of cattle, horses, etc. In the case of a shuffle (fresh, salted, etc., but neither tanned nor excited), also depilated, etc.",St
1011 44 000,"Rohe Häute und Felle von Schafen oder Lämmern (frisch, gesalzen usw., jedoch weder gegerbt noch zugerichtet), auch enthaart oder gespalten","Raw skins and skins by sheep or lambs (fresh, salted, etc., but neither tanned nor tanned), also depilated or split",St
1011 45 000,"Andere rohe Häute und Felle (frisch, gesalzen usw., jedoch weder gegerbt noch zugerichtet), auch enthaart oder gespalten (z.B. von Ziegen oder Zickeln, Fischen, Hunden, Kamelen, Rehen)","Other raw skins and skins (fresh, salted, etc., but neither tanned nor tanned), also depilated or split (e.g. of goats or bends, fishing, dogs, camels, deer)",St
1011 50 400,"Schweinespeck (ohne magere Teile), Schweinefett, nicht ausgeschmolzen, frisch, gekühlt, gefroren, gesalzen, in Salzlake, getrocknet oder geräuchert","Pork bacon (without lean parts), pork fat, not melted, fresh, chilled, frozen, salted, in salt lake, dried or smoked",kg
1011 50 602,für technische Zwecke,For technical purposes,kg
1011 50 608,für andere Zwecke,for other purposes,kg
1011 50 700,"Fett von Rindern, Schafen oder Ziegen, roh oder ausgeschmolzen, auch ausgepresst oder mit Lösungsmitteln ausgezogen","Fat of cattle, sheep or goats, raw or melted, also pressed out or with solvent",kg
1011 60 300,"Därme, Blasen und Mägen von anderen Tieren als Fischen, ganz oder zerteilt","Därme, bubbles and stomachs from other animals as fishing, completely or cut",kg
1011 60 900,"Andere Waren tierischen Ursprungs, ungenießbar, a.n.g.","Others were of animal origin, inedible, A.N.G.",kg
1012 10 100,"Hühner, unzerteilt","Chickens, unadorned",kg
1012 10 200,"Truthühner, unzerteilt","Truth chickens, unadorned",kg
1012 10 300,"Enten, Gänse und Perlhühner, unzerteilt","Ducks, geese and pearl chickens, unpavated",kg
1012 10 500,Teile von Hühnern,Parts of chickens,kg
1012 10 600,Teile von Truthühnern,Parts of turkey,kg
1012 10 700,"Teile von Enten, Gänsen und Perlhühnern","Parts of ducks, geese and pearl chickens",kg
1012 20 130,Hühner,Chicken,kg
1012 20 150,Truthühner,Turkey,kg
1012 20 170,"Enten, Gänse und Perlhühner","Ducks, geese and pearl chickens",kg
1012 20 530,von Hühnern,chicken,kg
1012 20 550,von Truthühnern,From turkey,kg
1012 20 570,"von Enten, Gänsen und Perlhühnern","of ducks, geese and pearl chickens",kg
1012 30 000,Geflügelfett,Poultry fat,kg
1012 40 001,"Geflügellebern, gefroren, einschl. Fettlebern von Gänsen oder Enten","Wingwirms, frozen, including fat liver of geese or ducks",kg
1012 40 003,"Schlachtnebenerzeugnisse und Lebern, frisch oder gekühlt","Slaughter products and liver, fresh or chilled",kg
1012 40 005,"Schlachtnebenerzeugnisse von Geflügel, gefroren","Battle of poultry, frozen",kg
1012 50 000,"Vogelbälge u.a. -teile, mit ihren Federn oder Daunen, Federn und Teile von Federn (auch beschnitten), Daunen, roh oder nur gereinigt, desinfiziert oder zum Haltbarmachen behandelt, Waren daraus; Mehl und Abfälle von Federn oder Federteilen","Bird's balls etc. parts, with their springs or down, feathers and parts of feathers (also trimmed), down, raw or only cleaned, disinfected or treated for keeping them; Flour and waste from springs or feather parts",EUR
1013 11 200,"Schweineschinken, -schultern und Teile davon, mit Knochen","Pork ham, shoulder and parts of it, with bones",kg
1013 11 500,Schweinebäuche (Bauchspeck) und Teile davon,Pig boxes (bacon) and parts of it,kg
1013 11 800,Anderes Schweinefleisch,Another pork,kg
1013 12 000,"Rindfleisch, gesalzen, getrocknet oder geräuchert","Beef, salted, dried or smoked",kg
1013 13 000,"Sonstiges Fleisch und genießbare Schlachtnebenerzeugnisse, gesalzen, in Salzlake, getrocknet oder geräuchert (außer Schweine- und Rindfleisch); genießbares Mehl von Fleisch oder von Schlachtnebenerzeugnissen","Other meat and edible slaughtered products, salted, in salt lake, dried or smoked (except pig and beef); Enjoyable flour of meat or battle products",kg
1013 14 300,"Leberwürste u.ä. Erzeugnisse, einschl. Lebensmittelzubereitungen auf der Grundlage dieser Erzeugnisse (ohne Fertiggerichte)","Liver sausages etc. Products, including food preparations based on these products (without ready meals)",kg
1013 14 601,"Rohwürste, getrocknet oder streichfähig","Raw sausages, dried or strokable",kg
1013 14 603,Kochwürste,Sausage,kg
1013 14 605,Brühwürste,Brewing sausages,kg
1013 15 050,Zubereitungen aus Gänse- oder Entenlebern,Preparations from geese or duck liver,kg
1013 15 150,Zubereitungen aus Lebern von anderen Tieren oder Geflügel (ohne Enten oder Gänse),Preparations from liver of other animals or poultry (without ducks or geese),kg
1013 15 250,Zubereitungen aus Truthühnerfleisch (ohne Zubereitungen aus Lebern),Preparations from turkey meat (without preparations from liver),kg
1013 15 350,Zubereitungen von anderem Geflügel (ohne Zubereitungen aus Lebern),Preparations of other poultry (without preparations from liver),kg
1013 15 450,Schinken vom Schwein und Teile davon (z.B. Kochschinken),Pork ham and parts of it (e.g. cooked ham),kg
1013 15 550,"Schultern vom Schwein und Teile davon (z.B. Schulterrollbraten, gegart)","Shoulders from the pig and parts of it (e.g. shoulder bloet, cooked)",kg
1013 15 650,"Zubereit. aus Fleisch v. Hausschweinen (einschl. Mischung.), mit einem Gehalt an Fleisch od. Schlachtn.erzeugn. aller Art, einschl. Speck u. Fette jeder Art u. Herkunft, v. < 40 GHT (oh. fein homogen. Zubereit., Zubereit. aus Lebern) (z.B. Fleischsalat)","Prepared. From meat v. House pigs (including mixture.), With a content of meat or slaughtering. all kinds, including bacon and fat of all kinds and origin, v. <40 ght (oh. Fine homogeneous. Preparation., Preparation. From liver) (e.g. meat salad)",kg
1013 15 750,"Andere Zubereitungen von Schweinefleisch (einschl. Mischungen), (ohne fein homogenisierte Zubereitungen, Zubereitungen aus Lebern)","Other preparations of pork (including mixtures), (without finely homogenized preparations, preparations from liver)",kg
1013 15 853,Rindfleischsalat,beef salad,kg
1013 15 859,Andere Zubereitungen aus Rind- oder Kalbfleisch,Other preparations from beef or veal,kg
1013 15 950,"Andere Zubereitungen aus Fleisch (einschl. Zubereitungen aus Blut aller Tierarten) (ohne fein homogenisierte Zubereitungen, Zubereitungen aus Lebern)","Other preparations from meat (including preparations from blood of all animal species) (without finely homogenized preparations, preparations from liver)",kg
1013 16 000,"Mehl und Pellets von Fleisch, Schlachtnebenerzeugnissen, ungenießbar; Grieben","Flour and pellets of meat, slaughtered products, inedible; Grey",kg
1013 91 000,Kochen u.a. Zubereitungsleistungen für die Herstellung von Fleischprodukten,"Cooking, among other things, preparation services for the production of meat products",EUR
1020 11 000,"Fischfilets u.a. Fischfleisch (auch Haifischflossen; auch fein zerkleinert), frisch oder gekühlt","Fish fillets including fish meat (including shark fins; also finely crushed), fresh or cooled",kg
1020 12 000,"Fischlebern, -rogen, -milch, frisch oder gekühlt","Fish liver, -rogen, milk, fresh or chilled",kg
1020 13 300,Seefische,Sea fish,kg
1020 13 600,Süßwasserfische,Freshwater fish,kg
1020 14 000,"Fischfilets, gefroren","Fish fillets, frozen",kg
1020 15 000,"Anderes Fischfleisch (auch fein zerkleinert), gefroren","Other fish meat (also finely crushed), frozen",kg
1020 16 000,"Fischlebern, -rogen, -milch, gefroren","Fish liver, -rogen, -milk, frozen",kg
1020 21 000,"Fischfilets, getrocknet, gesalzen oder in Salzlake, jedoch nicht geräuchert","Fish fillets, dried, salted or in salt lake, but not smoked",kg
1020 22 500,"Fischlebern, -rogen, -milch, Fischköpfe,-schwänze und sonstige essbare Fischabfälle, getrocknet, geräuchert, gesalzen oder in Salzlake; Mehl, Pulver und Pellets von Fischen, genießbar","Fish liver, roges, milk, fish heads, cocks and other edible fish waste, dried, smoked, salted or in salt lake; Flour, powder and pellets of fish, enjoyable",kg
1020 23 500,"Fische, getrocknet, auch gesalzen oder in Salzlake (ohne Filets)","Fish, dried, also salted or in Salzlake (without fillets)",kg
1020 24 250,"Pazifischer Lachs, Atlantischer Lachs und Donaulachs","Pacific Salmon, Atlantic Salmon and Donaulach",kg
1020 24 550,Heringe,Peg,kg
1020 24 850,Andere geräucherte Fische,Other smoked fish,kg
1020 25 100,Lachse,Salmon,kg
1020 25 200,Heringe,Peg,kg
1020 25 300,"Sardinen, Sardinellen oder Sprotten","Sardines, sardinels or sprats",kg
1020 25 400,"Thunfisch, echter Bonito und Pelamide (Sarda spp.)","Tuna, real bonito and pelamide (Sarda spp.)",kg
1020 25 500,Makrelen,Mackerel,kg
1020 25 600,Sardellen,Anchovy,kg
1020 25 700,"Fischfilets, Fischstäbchen, roh, lediglich mit Teig umhüllt oder paniert, auch in Öl vorgebacken, gefroren","Fish fillets, fish sticks, raw, only covered with dough or breaded, also pre -baked in oil, frozen",kg
1020 25 800,"Andere Fische (ohne Fischstäbchen), ganz oder in Stücken","Other fish (without fish fingers), whole or in pieces",kg
1020 25 903,Fischsalat,fish salad,kg
1020 25 905,Andere zubereitete oder haltbar gemachte Fische,Other prepared or durable fish,kg
1020 26 300,Echter Kaviar,Real caviar,kg
1020 26 600,Kaviarersatz aus Fischeiern,Caviar replacement from fish eggs,kg
1020 31 000,"Krebstiere, gefroren, getrocknet, gesalzen oder in Salzlake (ohne lebende, frische oder gekühlte)","Crustaceans, frozen, dried, salted or in salt lake (without living, fresh or chilled)",kg
1020 32 500,"Weichtiere (Kamm- und Pilger-Muscheln, Miesmuscheln, Tintenfische, Kalmare und Kraken), gefroren, getrocknet, gesalzen oder in Salzlake","Molders (comb and pilgrim mussels, mussels, inkfish, Kalmare and octopuses), frozen, dried, salted or in Salzlake",kg
1020 33 500,"And. wirbellose Wassertiere (Sandklaffmuscheln, Quallen, usw.), gefroren, getrocknet, gesalzen o. in Salzlake; Mehl, Pulver u. Pellets v. wirbellosen Wassertieren (and. als Krebstieren), genießbar, gefroren, getrocknet, gesalzen o. in Salzlake","And. Invertebrate water animals (sand cleaver mussels, jellyfish, etc.), frozen, dried, salted or in Salzlake; Flour, powder and pellets v. Invertebrates water animals (and. as crustaceans), edible, frozen, dried, salted or in Salzlake",kg
1020 34 003,Lebensmittelzubereitungen von Krebstieren usw.,Food preparations of crustaceans etc.,kg
1020 34 005,"Krebstiere, anders zubereitet oder haltbar gemacht; Weichtiere u.a. wirbellose Wassertiere sowie Meeresalgen, anders zubereitet oder haltbar gemacht, a.n.g.","Crustaceans, made differently or durable; Molders, among other things, invertebrate aquatic animals and sea algae, made differently or durable, a.n.G.",kg
1020 41 000,"Mehl und Pellets von Fischen, Krebstieren, Weichtieren o.a. wirbellosen Wassertieren oder Meeresalgen, ungenießbar","Flour and pellets of fish, crustaceans, molluscs or others, vertebrates water animals or seaweed, inedible",kg
1020 42 000,"And. ungenießbare Erzeugn. a. Fischen, Krebstieren, Weichtieren o. a. wirbellosen Wassertieren o. Meeresalgen (einschl.Fischabfälle, oh.Fischbein u. Bartenfransen, Korallen o. ähnl. Stoffe, Schalen, Panzer u. Schulp, roh o. einfach bearb./nat Schwämme)","And. Inedible producing. a. Fishing, crustaceans, molluscs or the like. Invertebrates water animals or sea algae (including fishing waste, oh.fischbein and Bartenfring, corals or similar fabrics, bowls, tanks and schoolp, raw or simply edit/nat Schwämme)",kg
1031 11 100,"Kartoffeln, auch in Wasser oder Dampf gekocht, gefroren","Potatoes, also cooked in water or steam, frozen",t
1031 11 301,"Pommes frites, vorgebacken, gefroren","French fries, pre -baked, frozen",t
1031 11 309,"Andere Kartoffeln, ohne Essig zubereitet oder haltbar gemacht, gefroren (ohne Pommes frites)","Other potatoes, made prepared or durable without vinegar, frozen (without french fries)",t
1031 12 000,"Kartoffeln, getrocknet, auch in Stücke oder Scheiben geschnitten, jedoch nicht weiter zubereitet","Potatoes, dried, also cut into pieces or slices, but not further prepared",t
1031 13 000,"Kartoffeln, getrocknet; in Form von Mehl, Grieß, Flocken, Granulat und Pellets","Potatoes, dried; In the form of flour, semolina, flakes, granules and pellets",t
1031 14 300,"Kartoffeln in Form von Mehl, Grieß oder Flocken, ohne Essig zubereitet oder haltbar gemacht, nicht gefroren, nicht frisch","Potatoes in the form of flour, semolina or flakes, without vinegar prepared or durable, not frozen, not fresh",t
1031 14 603,Kartoffelchips und -sticks,Potato chips and sticks,t
1031 14 605,"Kartoffelsalat, nicht auf Mayonnaisebasis","Potato salad, not on mayonnaise base",t
1031 14 609,Andere zubereitete Kartoffeln,Other prepared potatoes,t
1031 91 000,Kochen u.a. Zubereitungsleistungen für Kartoffeln und Kartoffelerzeugnisse (z.B. Schälen von Kartoffeln),"Cooking, among other things, preparation services for potatoes and potato products (e.g. peeling potatoes)",EUR
1032 11 000,Tomatensaft,Tomato juice,l
1032 12 100,"Orangensaft, gefroren, mit einem Brixwert von 67 oder weniger","Orange juice, frozen, with a BRIX value of 67 or less",t
1032 12 200,"Orangensaft, nicht gefroren, mit einem Brixwert von 67 oder weniger","Orange juice, not frozen, with a BRIX value of 67 or less",l
1032 12 300,"Orangensaft, mit einem Brixwert von mehr als 67","Orange juice, with a BRIX value of more than 67",l
1032 13 000,Saft aus Pampelmusen oder Grapefruits,Juice made of pampel muses or grapefruits,l
1032 14 000,Ananassaft,Pineapple juice,l
1032 15 000,Traubensaft (einschl. Traubenmost),Grape juice (including grape must),l
1032 16 001,Apfelsaftkonzentrate,Apple juice concentrates,l
1032 16 003,Apfelsaft,Apple juice,l
1032 17 001,Mischungen aus Frucht- und Gemüsesaftkonzentraten,Mixtures of fruit and vegetable juice concentrates,l
1032 17 003,"Mischungen aus Fruchtsäften, mit Zusatz von Vitaminen","Mixtures of fruit juices, with the addition of vitamins",l
1032 17 004,"Mischungen aus Fruchtsäften, ohne Zusatz von Vitaminen","Mixtures of fruit juices, without the addition of vitamins",l
1032 17 009,"Mischungen aus Gemüsesäften, auch mit Fruchtsäften","Mixtures of vegetable juices, also with fruit juices",l
1032 19 100,"Saft aus Zitrusfrüchten (ohne Mischungen und ohne Säfte aus Orangen, Pampelmusen oder Grapefruits), mit einem Brixwert von 67 oder weniger","Juice made of citrus fruits (without mixtures and without juices from oranges, pampulent muses or grapefruits), with a BRIX value of 67 or less",l
1032 19 202,Fruchtsaft,fruit juice,l
1032 19 205,Gemüsesaft aus Karotten,Carroted juice from carrots,l
1032 19 209,Anderer Gemüsesaft,Other vegetable juice,l
1032 19 300,"Saft aus Früchten oder Gemüsen (ohne Mischungen), a.n.g., mit einem Brixwert von mehr als 67","Juice made of fruits or vegetables (without mixes), A.N.G., with a BRIX value of more than 67",l
1039 11 000,"Gemüse, auch in Wasser oder Dampf gekocht, gefroren","Vegetables, also cooked in water or steam, frozen",kg
1039 12 000,"Gemüse, vorläufig haltbar gemacht, zum unmittelbaren Genuss nicht geeignet","Vegetables, temporarily preserved, not suitable for direct enjoyment",kg
1039 13 300,Speisezwiebeln,Onions,kg
1039 13 500,Pilze und Trüffeln,Mushrooms and truffles,kg
1039 13 900,Anderes Gemüse (ohne Kartoffeln),Other vegetables (without potatoes),kg
1039 14 000,"Gemüse und Früchte, geschnitten oder verpackt","Vegetables and fruits, cut or packaged",kg
1039 15 000,"Bohnen, anders als in Essig zubereitet oder haltbar gemacht, nicht gefroren","Beans, unlike prepared in vinegar or made durable, not frozen",kg
