date,Category,Total,0-10%,10%-20%,20%-30%,30%-40%,40%-50%,50%-60%,60%-70%,70%-80%,80%-90%,90%-100%
2020-01-01,Disposable personal income,"$17,596 ",2.27224896304625%,4.09913116674369%,5.19157109250050%,6.23741032715769%,7.23175919918422%,8.32343576929172%,9.72493216135009%,11.31450162981350%,14.10684745931480%,31.49816790280400%
2019-01-01,Compensation of employees,"$11,448",0.98955491883242%,2.60073825870339%,3.74020412074659%,4.92085081179952%,6.37823121805620%,8.46857832882499%,10.55292278567070%,13.61607739861260%,17.65252602794260%,31.08031613081090%
2019-01-01,Proprietors' income with inventory valuation,"$1,601",-0.06245710531702%,0.11842307176736%,0.32113120546527%,0.53862912134777%,0.85881599438137%,1.60669160455231%,2.71446229155641%,4.42069156668407%,8.22951408525419%,81.25409816430830%
2019-01-01,Rental income of households with capital consumption adjustment,$688,1.93520402041829%,4.35072695930619%,5.62618543074810%,6.51768245440051%,7.36851838916346%,8.52229760132475%,9.91546556121185%,11.83987202579000%,14.29512497956100%,29.62892257807590%
2019-01-01,Household income receipts on assets,"$3,061",0.66690724772731%,1.05452278914080%,1.47356389215413%,2.33627909434211%,3.35828124356970%,4.61074219585393%,6.41844313435080%,8.69147005107265%,13.97798321377550%,57.41180723679470%
2019-01-01,Household interest income,"$1,634",1.13285553406461%,1.67445387993677%,2.21937176890806%,3.32577640847522%,4.61011408259104%,5.97643779224074%,8.08966924864532%,10.49067070100240%,16.77808580747620%,45.70256496168690%
2019-01-01,Household dividend income,"$1,427",0.13323335202268%,0.34448467977428%,0.61935279898071%,1.20295829049564%,1.92449443168327%,3.04654266847807%,4.50430421127465%,6.63075548647985%,10.77088555214550%,70.82298852866540%
2019-01-01,Household current transfer receipts,"$3,207",6.85491829790843%,10.19907249806470%,11.21887022001710%,11.71058955680440%,11.90683915455010%,11.10830351766460%,10.27386333221980%,9.42512029197567%,8.80585915722779%,8.49656397356743%
2019-01-01,Government social benefits,"$3,063",6.63916296882301%,10.32208623934460%,11.51436754767500%,11.97343676175440%,12.11480228903880%,11.11632253753430%,10.37899386591410%,9.38055835077566%,8.60803753846746%,7.95223190067263%
2019-01-01,From business (net),$31,1.84817590307146%,3.46540807881360%,4.39526771176754%,5.31776707050712%,6.36892590077605%,7.67961483920961%,9.10664315682385%,11.20331201881640%,14.57301087501350%,36.04187444520090%
2019-01-01,From nonprofit institutions,$113,14.07815564937380%,8.72482834464047%,5.09865382220597%,6.35572894827623%,7.80245908956156%,11.83666502788680%,7.74885676994344%,10.14147333430200%,12.57239579253710%,15.64078322127260%
2019-01-01,"Less: Contributions for government social insurance, domestic","$1,425",1.00599671477073%,2.70531913239763%,3.83925776581614%,4.99514824928166%,6.47836875861264%,8.56363571092619%,10.72389431917790%,13.95946903208440%,18.11217801399150%,29.61673230294130%
2019-01-01,Household income,"$18,581",1.89197570419822%,3.50051378708491%,4.42537849546788%,5.34291398224519%,6.38843109720300%,7.69208895013530%,9.11144305085063%,11.19684145377710%,14.54844956358650%,35.90196931349130%
2019-01-01,Personal income,"$18,587",1.81753212567228%,3.46849480227183%,4.42108847814929%,5.33658931429423%,6.37970077716916%,7.66678583605522%,9.11970487734714%,11.20330566322910%,14.56063263137840%,36.02617089080570%
2019-01-01,Less: Taxes,"$2,198",0.33428748045261%,0.62979981840096%,1.15532702766823%,1.85401380916328%,2.78971370997779%,4.37168522122583%,6.27408187653115%,9.50843347223178%,15.23986709176300%,57.84279050099090%
2019-01-01,Disposable personal income,"$16,389",2.01649792715560%,3.84928378765971%,4.85916510198443%,5.80374982761673%,6.86126966547451%,8.10879788610013%,9.50142285833654%,11.43065910690660%,14.46951764075600%,33.09963621533060%
2018-01-01,Compensation of employees,"$10,958",0.93381440835371%,2.64220917038753%,3.55591905644709%,5.00192078585100%,6.47149933762904%,8.15486191277513%,10.39418779485280%,13.41346281757600%,17.92919584807800%,31.50292886804970%
2018-01-01,Proprietors' income with inventory valuation,"$1,569",-0.09984180249502%,0.16038801403344%,0.33002100160086%,0.53940151753559%,0.86774700134431%,1.62121927353693%,2.70758505862927%,4.31827015139389%,7.87580903677070%,81.67940074765000%
2018-01-01,Rental income of households with capital consumption adjustment,$670,1.78219445687713%,4.01082058822303%,5.44782887324129%,6.46292727932867%,7.32157123792134%,8.77076516287791%,10.35724010506240%,11.75469254983850%,13.94097072116950%,30.15098902546020%
2018-01-01,Household income receipts on assets,"$2,803",0.81816472524436%,1.07302509878705%,1.54185916225145%,2.32932722595905%,3.36739339264585%,4.82882095585711%,6.29150459341763%,8.60221699224795%,13.01709550853900%,58.13059244643130%
2018-01-01,Household interest income,"$1,584",1.25653340176665%,1.60244024222028%,2.19430007902497%,3.22376609089672%,4.44357310094997%,6.14201698858281%,7.71138452948392%,10.27804110655090%,14.96143716745580%,48.18650747241270%
2018-01-01,Household dividend income,"$1,218",0.24813088207425%,0.38459874670859%,0.69345592737539%,1.16624133281081%,1.96798032341597%,3.12120309568292%,4.44516004339853%,6.42305476758403%,10.48876579971740%,71.06140908123210%
2018-01-01,Household current transfer receipts,"$3,034",7.24040271124970%,10.27643534622270%,11.63261791940880%,11.76376462952790%,11.50906240818850%,11.17958030420870%,10.55063701381130%,9.22988772078037%,8.16748644712018%,8.45012549948185%
2018-01-01,Government social benefits,"$2,902",6.70725934164183%,10.35534125245770%,11.86770348344370%,11.99535541623260%,11.70055111276500%,11.41442876066740%,10.64647775476580%,9.11892974029728%,8.02506569896946%,8.16888743875914%
2018-01-01,From business (net),$22,1.89335428888073%,3.49086223727809%,4.36727753712556%,5.36007487451085%,6.35403703917564%,7.56748475688933%,9.06539045328445%,11.04343316623960%,14.41981404632570%,36.43827160029000%
2018-01-01,From nonprofit institutions,$110,22.38984427928640%,9.54856995546155%,6.87578288446261%,6.92702688205900%,7.48190977335464%,5.69889716795334%,8.31622279838092%,11.79795114599110%,10.67940931935180%,10.28438579369850%
2018-01-01,"Less: Contributions for government social insurance, domestic","$1,362",0.94011594377168%,2.75575064355080%,3.68645160562762%,5.16381562490232%,6.53178865808976%,8.27257209035278%,10.60283188333210%,13.72779855478860%,18.38609143910080%,29.93278355648350%
2018-01-01,Household income,"$17,672",1.93807582883140%,3.52676857277342%,4.39836453612615%,5.38566470241869%,6.37414598980335%,7.58090733297737%,9.07053917128501%,11.03768298451140%,14.39542483635060%,36.29242040223780%
2018-01-01,Personal income,"$17,684",1.81069304428939%,3.48910542533951%,4.38275724701101%,5.37591144964808%,6.36712470426425%,7.59250881001148%,9.07519101964344%,11.03299944107260%,14.41868285569450%,36.45502601909400%
2018-01-01,Less: Taxes,"$2,075",0.72804551562881%,0.60241042013629%,1.06250830311069%,1.78088078567274%,2.78053477000271%,3.99962643235196%,6.02677223047719%,9.15626833040640%,14.79921386275050%,59.06373940376660%
2018-01-01,Disposable personal income,"$15,609",1.95461144130389%,3.87283928776526%,4.82412425986182%,5.85380571964879%,6.84389693199554%,8.07011750422255%,9.48042313254400%,11.28247688033530%,14.36809814451200%,33.44960670879640%
2017-01-01,Compensation of employees,"$10,424",0.92027833001490%,2.66025252169142%,3.62232847973473%,4.77680427176990%,6.32922132254676%,8.40822673802146%,10.95047431686980%,13.63434092179960%,17.89952063874270%,30.79855245880870%
2017-01-01,Proprietors' income with inventory valuation,"$1,505",-0.25116821058332%,0.13653383559557%,0.31462327477676%,0.52640926387462%,1.04522795439750%,1.68986944792850%,2.87130246929650%,4.62570751773439%,8.77965613203183%,80.26183831494770%
2017-01-01,Rental income of households with capital consumption adjustment,$641,2.00364565326295%,3.98505330818951%,5.35718573008453%,6.49523476525133%,7.59537764418632%,8.95405731263146%,9.98932955450579%,12.48057715278470%,15.08608425073850%,28.05345462836500%
2017-01-01,Household income receipts on assets,"$2,646",0.79677697517746%,0.95469339725287%,1.39855479049620%,1.97744913955906%,3.11811432538338%,4.34869354904911%,5.97134387971874%,8.38532335331422%,13.58164011175440%,59.46741048283910%
2017-01-01,Household interest income,"$1,527",1.24330164862404%,1.40551636464155%,1.93827078182981%,2.61588245477342%,3.98349772786423%,5.33975559653663%,7.06832021864598%,9.42741881045211%,15.00017198636210%,51.97786441814640%
2017-01-01,Household dividend income,"$1,119",0.18771360441403%,0.33976711778005%,0.66237768655415%,1.10662078427301%,1.93772416228353%,2.99687666820506%,4.47505902388382%,6.96389647698373%,11.64675082911920%,69.68321364650340%
2017-01-01,Household current transfer receipts,"$2,918",6.93641721665983%,10.04163164831480%,11.42035210080710%,11.99656741785360%,11.53259399124550%,10.97321205286400%,9.79925383904091%,9.29066508756633%,8.79659858812987%,9.21270805751796%
2017-01-01,Government social benefits,"$2,784",6.65139956210081%,10.25238638883900%,11.69314977344690%,12.20929147250230%,11.77164231165320%,11.04665727815160%,9.87371906787346%,9.09890383377495%,8.63495367731707%,8.76789663434058%
2017-01-01,From business (net),$29,1.83251288728575%,3.45123888236354%,4.35604478885244%,5.23944541570460%,6.27758156833872%,7.61170224766960%,9.18896930008688%,11.18726170529880%,14.70580755182750%,36.14943565257210%
2017-01-01,From nonprofit institutions,$105,15.89153427595950%,6.28071081400813%,6.14756157427499%,8.22952806084535%,6.65395207697235%,9.95650974293545%,7.99612646177266%,13.84432896474800%,11.44528630998550%,13.55446171849810%
2017-01-01,"Less: Contributions for government social insurance, domestic","$1,299",0.92864291920999%,2.75765771028036%,3.70374756880572%,4.86608480017221%,6.37241129927104%,8.53277484407610%,11.15828613911000%,13.98361153221780%,18.44587085521340%,29.25091233164340%
2017-01-01,Household income,"$16,835",1.87951398354255%,3.48891192644670%,4.38853034700409%,5.26682748402305%,6.29899724881349%,7.62545347023726%,9.19362394601138%,11.18042854438870%,14.67873337651790%,35.99897373384010%
2017-01-01,Personal income,"$16,840",1.79172278694883%,3.47123599218100%,4.37733641841680%,5.24815162386124%,6.29664198663109%,7.61081023144687%,9.20107086368610%,11.16384140732790%,14.69909884557480%,36.14008984463950%
2017-01-01,Less: Taxes,"$2,049",0.64118915275533%,0.58286932588070%,1.04294679789025%,1.70534155774964%,2.75956850041340%,4.38621235307935%,6.71471832738653%,9.89544386553487%,15.83116457789120%,56.44054553629970%
2017-01-01,Disposable personal income,"$14,791",1.95107477432312%,3.87128250526121%,4.83915830429636%,5.73884029922557%,6.78653613032799%,8.05742566721461%,9.54543734389785%,11.33951786133010%,14.54230471203400%,33.32842240361130%
2016-01-01,Compensation of employees,"$9,966",0.91367296977553%,2.73144257710008%,3.88121793298212%,4.93758602704574%,6.31672096020051%,8.18177446610577%,10.50963470724430%,13.56535782909640%,17.64488709794150%,31.31770543250810%
2016-01-01,Proprietors' income with inventory valuation,"$1,423",-0.00928757561364%,0.16000596079580%,0.27352480845213%,0.57420245397966%,0.92003388279525%,1.88025087848154%,2.68271346826845%,4.86410246711935%,9.03458120066161%,79.61987237470860%
2016-01-01,Rental income of households with capital consumption adjustment,$617,1.83414719903182%,3.79623614029566%,5.29132092273949%,6.34757505099262%,7.39651855846799%,8.63406265651873%,10.32047966557780%,11.93506978477580%,14.25760735812400%,30.18698266347610%
2016-01-01,Household income receipts on assets,"$2,491",0.80532991520429%,0.96073510175310%,1.29938708060002%,1.96748004544521%,2.84873825345964%,4.28838190733087%,5.80903520571427%,8.27084849106580%,13.38807387746630%,60.36199009082780%
2016-01-01,Household interest income,"$1,446",1.18998682996150%,1.42011586561364%,1.81307298386084%,2.61859274088966%,3.68230620065798%,5.26072425248546%,6.98403064789974%,9.25381776624521%,14.62201994527840%,53.15533274818570%
2016-01-01,Household dividend income,"$1,046",0.27357669265818%,0.32568294959638%,0.58926300910671%,1.06737592470738%,1.69640633083289%,2.94420699296509%,4.18471080417979%,6.91198281184001%,11.68225559412330%,70.32453884197720%
2016-01-01,Household current transfer receipts,"$2,835",6.79459198803638%,10.15120354450460%,11.18577041959260%,11.66744370213710%,11.97074946188750%,11.41367818536140%,10.49986062224920%,9.41939453870961%,8.52427930456791%,8.37302823295369%
2016-01-01,Government social benefits,"$2,694",6.49183522810963%,10.32938837326470%,11.43407919795650%,11.84712686298960%,12.21194951560340%,11.64798565907810%,10.62928203867490%,9.33736058571485%,8.33345294047903%,7.73753959812924%
2016-01-01,From business (net),$41,1.83564483039469%,3.52922569937811%,4.46163192112860%,5.29239102871740%,6.30776172290882%,7.57773785053365%,9.05947890096264%,11.15387659100290%,14.47110646274530%,36.31114499222790%
2016-01-01,From nonprofit institutions,$101,16.85073526545030%,8.06209223609746%,7.26949311759846%,9.43930534662105%,7.81793438655616%,6.71115396989697%,7.63008261032503%,10.90867895947700%,11.22116328040770%,14.08936082756980%
2016-01-01,"Less: Contributions for government social insurance, domestic","$1,239",0.94534338429712%,2.86417133851301%,3.99636519864175%,5.08351948395309%,6.45184876582203%,8.39451659440442%,10.71425218763110%,14.03756292155080%,18.20742548626100%,29.30499463892580%
2016-01-01,Household income,"$16,094",1.88420122473093%,3.56771462704860%,4.49457436553773%,5.32038451277222%,6.32970828553104%,7.59214268491374%,9.06508031230480%,11.14701681459680%,14.44451968155360%,36.15466369255860%
2016-01-01,Personal income,"$16,097",1.78987585914068%,3.53923460630197%,4.47693081688773%,5.29433057463459%,6.32021793825511%,7.59758308971084%,9.07405745952563%,11.14855752910040%,14.46493785526390%,36.29427425925590%
2016-01-01,Less: Taxes,"$1,958",0.60884381525634%,0.58853395931407%,1.09385696937868%,1.71986713970009%,2.64776490409767%,4.13979143067775%,6.14957247436515%,9.47686158231890%,14.97303638728810%,58.60187135951970%
2016-01-01,Disposable personal income,"$14,139",1.95345032948888%,3.94791047414690%,4.94549093396556%,5.78939839787956%,6.82885744812411%,8.07649172062358%,9.47910242419528%,11.38008958658690%,14.39456554937190%,33.20464311900740%
2015-01-01,Compensation of employees,"$9,699",0.94049258247408%,2.71595080562098%,3.69513913304965%,4.80208204005173%,6.42276688043742%,8.23552225520354%,10.70580597296210%,13.94452873004730%,17.81557718758990%,30.72213441256330%
2015-01-01,Proprietors' income with inventory valuation,"$1,421",-0.09253072028872%,0.13984331567351%,0.32975710448150%,0.59268975142570%,1.08727866143372%,1.97774078963399%,3.05860343581502%,4.70910364773520%,8.65624598044931%,79.54126803364080%
2015-01-01,Rental income of households with capital consumption adjustment,$600,1.59884204632397%,3.81479318108447%,5.12463009685873%,6.29956121589038%,7.33170806503813%,8.37535968655084%,10.19656145951640%,11.93758147463540%,14.58037431695740%,30.74058845714420%
2015-01-01,Household income receipts on assets,"$2,427",0.79573292200817%,1.00491276846928%,1.30541562334224%,1.93974509275807%,2.96086708464701%,4.40104410361487%,6.10452746329022%,7.95688694841291%,12.55475208196200%,60.97611594907070%
2015-01-01,Household interest income,"$1,423",1.24759955147743%,1.47753164631591%,1.79221623464272%,2.55708299480508%,3.72087432058519%,5.34245162490210%,7.26897880200221%,8.95859143331367%,13.44967722039450%,54.18499623563660%
2015-01-01,Household dividend income,"$1,004",0.15501166465282%,0.33476599967727%,0.61515996069210%,1.06439495398537%,1.88321992052379%,3.06618162122402%,4.45340149555727%,6.53652679077537%,11.28579898266170%,70.60553861025020%
2015-01-01,Household current transfer receipts,"$2,740",6.86468856996532%,10.03695771276090%,11.41366010591770%,12.16456289137240%,11.62743341021760%,11.41615087054330%,10.25670788148390%,9.38916938082800%,8.64758340080359%,8.18308577610730%
2015-01-01,Government social benefits,"$2,612",6.46221849802719%,10.20474260016140%,11.60084484317480%,12.43242667769000%,11.91643464818380%,11.59265891438400%,10.32752726405660%,9.35076152408332%,8.42384595913770%,7.68853907110127%
2015-01-01,From business (net),$32,1.83472852048533%,3.49186606672481%,4.38261149053455%,5.28608331028437%,6.31914184075301%,7.60954752773988%,9.17800605079584%,11.28799411003690%,14.43828007616350%,36.17174100648180%
2015-01-01,From nonprofit institutions,$96,19.45306429859400%,7.62352904678780%,8.63235979387184%,7.14047421637740%,5.51384865278572%,7.86743683837934%,8.68573866006313%,9.81024373570777%,12.82916188553090%,12.44414287190200%
2015-01-01,"Less: Contributions for government social insurance, domestic","$1,205",0.95232234220802%,2.81771860384675%,3.78867833648709%,4.89131066528835%,6.50581569508505%,8.39461301543915%,10.96588900409960%,14.31242439604720%,18.26478882506340%,29.10643911643540%
2015-01-01,Household income,"$15,682",1.88370034703123%,3.53091115460797%,4.41628184633303%,5.31434782631841%,6.34121523617591%,7.62389132315061%,9.18293341234571%,11.28027540115760%,14.41165902852850%,36.01478443016630%
2015-01-01,Personal income,"$15,685",1.77574348410177%,3.50558877725281%,4.39023703431449%,5.30298038657667%,6.34614484828031%,7.62230838313055%,9.18594854034508%,11.28933107908000%,14.42152336093540%,36.16019411179700%
2015-01-01,Less: Taxes,"$1,940",0.57646119370463%,0.56442058328742%,0.99610208529946%,1.58931022941812%,2.65079415030571%,4.14488485570165%,6.47613152475730%,9.59117011379127%,14.85210652374710%,58.55861877434980%
2015-01-01,Disposable personal income,"$13,745",1.94500488006397%,3.92069224226384%,4.86927022287608%,5.82711136055752%,6.86769029485065%,8.11309655311972%,9.56840012370719%,11.52900200381130%,14.36075275855190%,32.99897956198290%
2014-01-01,Compensation of employees,"$9,250",0.87201965068902%,2.65922028452775%,3.68845069621613%,4.83232842189419%,6.30831953134431%,8.26408229701603%,10.68044331379750%,13.85885028031680%,17.98700656407330%,30.84927896012500%
2014-01-01,Proprietors' income with inventory valuation,"$1,446",-0.33057867963644%,0.15751946148689%,0.27611256427824%,0.57135247736554%,1.04300414290884%,1.61166486300632%,2.89046982765446%,4.62220165042341%,9.11500151866003%,80.04325217385270%
2014-01-01,Rental income of households with capital consumption adjustment,$594,1.51148347883331%,3.46683541411294%,4.95754291771147%,6.09472463139841%,7.10111708130631%,8.21794434628726%,9.85735045126277%,11.41759978809100%,14.19735318875300%,33.17804870224360%
2014-01-01,Household income receipts on assets,"$2,240",0.67605263951563%,0.95498145153965%,1.36667701786594%,2.02582098616060%,2.93936545241991%,4.28746809811913%,5.97639874710379%,8.55981437568698%,13.62038790188570%,59.59303330273620%
2014-01-01,Household interest income,"$1,317",1.11628280086063%,1.36487144319294%,1.89385378894191%,2.64625317427947%,3.73723972112626%,5.22628690348775%,7.09433679236845%,9.75641791356332%,14.81727972831060%,52.34717768801910%
2014-01-01,Household dividend income,$922,0.04737413245055%,0.36963076310384%,0.61383285928569%,1.13980177164338%,1.79994692066044%,2.94677121546910%,4.37990745004920%,6.85098342361748%,11.91114525423020%,69.94060620949010%
2014-01-01,Household current transfer receipts,"$2,593",6.54992362076244%,9.88772810222813%,11.40631276726300%,12.01868884868880%,11.83552173196920%,11.18779356503210%,10.81235914733310%,9.37004409365917%,8.45299851865562%,8.47862960440849%
2014-01-01,Government social benefits,"$2,476",6.19900714636792%,10.05734240055790%,11.72104072579440%,12.24388933366630%,12.09103225840480%,11.40885085779560%,10.73785357734220%,9.32321533619955%,8.27103274905607%,7.94673561481514%
2014-01-01,From business (net),$25,1.68409288659102%,3.39875971535687%,4.35696443975078%,5.26215271836338%,6.26032062974094%,7.51127801534744%,9.19523109557817%,11.28758931096600%,14.65986848784790%,36.38374270045750%
2014-01-01,From nonprofit institutions,$92,17.37075487236980%,7.09599869413567%,4.84942713276058%,7.79930036062780%,6.47158145720915%,6.23078734974416%,13.27089354059920%,10.10605625437240%,11.65616657397460%,15.14903376420660%
2014-01-01,"Less: Contributions for government social insurance, domestic","$1,154",0.87883082752668%,2.75816652214026%,3.78199243459298%,4.89226447016519%,6.32609457039425%,8.32500411701756%,10.86584036414310%,14.11627605724070%,18.55391910486020%,29.50161153191910%
2014-01-01,Household income,"$14,968",1.73485352256222%,3.43905511317792%,4.39141481486373%,5.29106463335022%,6.28314240922006%,7.52647010369523%,9.20015039103696%,11.27973163662060%,14.63141581144460%,36.22269487916130%
2014-01-01,Personal income,"$14,977",1.63882549456661%,3.41640612227604%,4.38838176616570%,5.27552156481562%,6.28183676909233%,7.53429798956932%,9.17520529447204%,11.28696680716820%,14.64981385427580%,36.35273765646890%
2014-01-01,Less: Taxes,"$1,785",0.35734849040552%,0.52513920556225%,0.94120276794945%,1.58231676229572%,2.46494207853496%,3.97002125298912%,6.17443104854413%,9.52478877637471%,15.02510580278110%,59.43470391730730%
2014-01-01,Disposable personal income,"$13,192",1.81218034821469%,3.80752914015070%,4.85470711480176%,5.77512864005327%,6.79817628850873%,8.01646401363747%,9.58114217710405%,11.52534963701080%,14.59904534216270%,33.23026969952180%
2013-01-01,Compensation of employees,"$8,835",1.04476400574139%,2.78022672224745%,3.64353787350315%,4.75613506640174%,6.35361488929826%,8.14381220338765%,10.81668523422740%,13.72149619352030%,17.93415187881520%,30.80557593285740%
2013-01-01,Proprietors' income with inventory valuation,"$1,402",-0.29505223855601%,0.23871009559492%,0.41447818696594%,0.64304697041608%,1.13721793228987%,1.78753441670645%,2.67339601855406%,4.77045465946789%,9.19879551975442%,79.43141843880640%
2013-01-01,Rental income of households with capital consumption adjustment,$569,1.54306877810426%,3.47089286252573%,4.87458545957280%,6.23399577607796%,7.20898561694569%,8.70463218854253%,9.52641395383510%,11.63316946835770%,14.33537280786120%,32.46888308817700%
2013-01-01,Household income receipts on assets,"$2,010",0.78424600276551%,1.09748456028653%,1.47639606244702%,1.96396386629987%,3.19532171770135%,4.48969102185697%,6.22390958267218%,8.38559822278048%,13.20725908592500%,59.17612990068190%
2013-01-01,Household interest income,"$1,246",1.17805062661916%,1.48070702206939%,1.90497952749081%,2.44625458079227%,3.84716086240751%,5.34872917072909%,7.06734264061761%,9.25511120419713%,13.75204226538580%,53.71962213746250%
2013-01-01,Household dividend income,$764,0.14182367779568%,0.47232515390359%,0.77723823295598%,1.17719219489688%,2.13196188522743%,3.08832280165726%,4.84799829768158%,6.96714217305993%,12.31854205327850%,68.07745352954320%
2013-01-01,Household current transfer receipts,"$2,473",6.50563654275921%,9.77562773755242%,11.51846785837230%,12.47660112178950%,12.01726745440240%,11.56388069307830%,10.62049211588170%,9.18244985017005%,8.07625035636294%,8.26332626963125%
2013-01-01,Government social benefits,"$2,363",6.07040561809897%,9.88369052364187%,11.70566056193670%,12.71132193043210%,12.21734152543440%,11.81567489689150%,10.77058850003060%,9.16114041484876%,7.92637207389096%,7.73780395479419%
2013-01-01,From business (net),$22,1.79269530481605%,3.48888497332564%,4.39676921087591%,5.32869077670736%,6.39119666807027%,7.59926538884537%,9.26097382914939%,11.19447568701160%,14.52166066549900%,36.02538749569930%
2013-01-01,From nonprofit institutions,$87,19.46846904595320%,8.43345897643729%,8.24521540606934%,7.92387894371528%,8.01911875042614%,5.74816920460511%,6.90111689894150%,9.25278505826829%,10.50998176900380%,15.49780594658000%
2013-01-01,"Less: Contributions for government social insurance, domestic","$1,104",1.08268686369352%,2.87984182592669%,3.73655835342093%,4.76651758693267%,6.32789526061589%,8.16802194606732%,10.93521315522330%,13.95965207146120%,18.51014934533150%,29.63346359132700%
2013-01-01,Household income,"$14,184",1.84433139820043%,3.52984269182002%,4.43202888722304%,5.35805826757939%,6.41390487128333%,7.61436352938651%,9.26563491825624%,11.18694859139110%,14.49322301148380%,35.86166383669480%
2013-01-01,Personal income,"$14,194",1.73553523450205%,3.49939091757517%,4.40832553010808%,5.34207030581282%,6.40387304891336%,7.62574373614058%,9.28015248096779%,11.19890111134100%,14.51792628548940%,35.98808135246610%
2013-01-01,Less: Taxes,"$1,676",0.48976888040706%,0.54961498278375%,0.95305209669783%,1.51891999799535%,2.60807495111773%,3.81365855225402%,6.09346935599133%,9.07342271575824%,14.79585928141020%,60.10415918747500%
2013-01-01,Disposable personal income,"$12,517",1.90237413705940%,3.89443881570868%,4.87107203612085%,5.85408461698068%,6.91222422317953%,8.13627615375174%,9.70692810676748%,11.48355519736830%,14.48070418852760%,32.75834252804320%
2012-01-01,Compensation of employees,"$8,567",1.02896004672441%,2.78120224898253%,3.61573939447341%,4.75815779861174%,6.08697074975357%,8.19297686908895%,10.86454850726020%,13.90905857412330%,17.85030689348310%,30.91207891749880%
2012-01-01,Proprietors' income with inventory valuation,"$1,346",-0.17397373470562%,0.22235896664314%,0.34806919431853%,0.72960709201631%,1.44515812397079%,1.68283412645481%,2.83434162615264%,4.77208834728201%,8.58169437916644%,79.55782187870090%
2012-01-01,Rental income of households with capital consumption adjustment,$526,1.40771685872679%,3.30303108969212%,4.89200695462644%,5.96219386406496%,7.02672696503788%,8.32934289222749%,9.88147514871823%,11.56242101356610%,13.69358510379210%,33.94150010954780%
