date,all_actual,all_lending_nsa,FAE_actual_manu,FAE_lending_nsa_manu
2015-04-01,-7.18,-18.8,-7.99,-19.72
2015-05-01,-8.72,-15.67,-9.14,-16.89
2015-06-01,-7.62,-13.65,-4.36,-13.5
2015-07-01,-8.49,-13.26,-5.06,-14.04
2015-08-01,-10.04,-14.63,-9.79,-15.5
2015-09-01,-9.45,-14.31,-6.22,-14.6
2015-10-01,-9.05,-13.02,-7.39,-14
2015-11-01,-9.04,-14.74,-9.24,-14.61
2015-12-01,-8.11,-14.4,-6.73,-16.35
2016-01-01,-9.65,-15.32,-9.07,-17.3
2016-02-01,-5.93,-13.52,-1.61,-14.29
2016-03-01,-8.42,-12.76,-4.42,-13.29
2016-04-01,-8.18,-11.57,-4.46,-11.6
2016-05-01,-7.72,-10.69,-6.87,-11.14
2016-06-01,-6.48,-9.02,-3.9,-9.25
2016-07-01,-7.24,-9.14,-6.06,-8.81
2016-08-01,-4.62,-9.13,-2.19,-8.47
2016-09-01,-4.58,-7.43,-2.06,-6.79
2016-10-01,-6.26,-7.17,-4.79,-7.91
2016-11-01,-4.75,-7.79,-1.3,-8.17
2016-12-01,-5.56,-6.52,-2.63,-5.48
2017-01-01,-3.24,-6.71,-1.74,-6.42
2017-02-01,-6.51,-5.27,-5.12,-5.99
2017-03-01,-3.22,-5.61,-0.27,-5.67
2017-04-01,-7.43,-4.46,-6.83,-3.65
2017-05-01,-3.07,-3.81,-0.13,-3.67
2017-06-01,-4.53,-3.27,-2.49,-1.92
2017-07-01,-5.63,-2.91,-4.28,-2.08
2017-08-01,-3.26,-1.98,0.11,-1.8
2017-09-01,-4.61,-1.79,-2.79,-1.38
2017-10-01,-3.43,-1.15,-0.83,-0.52
2017-11-01,-3.45,-1.37,-0.97,-0.29
2017-12-01,-5.09,-0.76,-2.88,-0.19
2018-01-01,-4.89,-1.26,-0.22,0.17
2018-02-01,-3.92,-0.23,-3.99,0.8
2018-03-01,-2.68,0.64,-2.01,1.7
2018-04-01,-2.94,0,-1.19,0.2
2018-05-01,-2.83,-0.47,1.9,-0.61
2018-06-01,-5.91,-0.98,-4.83,-0.74
2018-07-01,-6.24,-1.57,-4.6,-1.1
2018-08-01,-4.82,-2.32,-3.23,-2.33
2018-09-01,-6.38,-3.38,-7.62,-4.65
2018-10-01,-2.47,-3.89,-0.41,-4.82
2018-11-01,-3.58,-4.82,-1.96,-5.63
2018-12-01,-4.21,-5.65,-5.6,-6.18
2019-01-01,-3.74,-6.58,-1.9,-7.16
2019-02-01,-3.44,-5.73,-3.92,-5.82
2019-03-01,-3,-4.98,-4.61,-4.12
2019-04-01,-1.46,-3.58,4.16,-3.49
2019-05-01,-3.98,-3.85,-2.12,-3.59
2019-06-01,-4.95,-3.22,-4.22,-1.7
2019-07-01,-3.4,-2.47,0.08,-0.73
2019-08-01,-6.04,-1.77,-6.63,-0.99
2019-09-01,-4.24,-1.27,-3.81,-0.3
2019-10-01,-2.83,-0.51,-0.86,0.52
2019-11-01,-3.82,-0.48,-7.55,1.41
2019-12-01,-3.17,0.26,-4.26,2.2
2020-01-01,-3.41,1.4,-1.85,3.12
2020-02-01,-4.4,-0.92,-4.08,1.53
2020-03-01,-26.33,-8.62,-22.15,-7.45
2020-04-01,-40.42,-6.4,-36.86,-6.2
2020-05-01,-25.95,0.09,-23.67,-1.52
2020-06-01,-12.42,5.41,-9.05,7.7
2020-07-01,-6.61,4.6,-4.15,8.01
2020-08-01,-6.78,4.17,-6.8,4.12
2020-09-01,-6.07,2.29,-4.17,1.39
2020-10-01,-10.02,-0.76,-8.04,0.96
2020-11-01,-8.77,-0.04,-6.4,1.53
2020-12-01,-7.43,-0.56,-3.98,1.25
2021-01-01,-3.76,-1.99,-5.06,0.12
2021-02-01,-1.96,-0.67,-0.4,0.31
2021-03-01,0.7,-2.92,4.3,-3.41
2021-04-01,1.46,-5.22,5.5,-6.63
2021-05-01,-0.16,-5.78,2.27,-6.6
2021-06-01,-1.13,-7.89,1.44,-9.05
2021-07-01,-2.79,-10.97,-0.27,-13.74
2021-08-01,-2.56,-11.45,-1.14,-12.83
2021-09-01,-1.02,-13.55,2.35,-16.26
2021-10-01,-3.21,-14.85,-0.52,-16.47
2021-11-01,-1.69,-14.43,2.52,-18.64
2021-12-01,-0.97,-17.08,3.95,-21.38
2022-01-01,-1.24,-17.72,1.21,-20.13
2022-02-01,-8.58,-44.14,-9.19,-50.95
2022-03-01,-11.04,-52.04,-11.57,-56.65
2022-04-01,-11.53,-28.86,-8.3,-27.34
2022-05-01,-7.29,-14.02,-5.69,-7.89
2022-06-01,-5.7,-7.57,-4.64,-6.18
2022-07-01,-6.42,-0.3,-7,0.21
2022-08-01,-4.45,-0.77,2.09,1.84
2022-09-01,-7.18,-6.78,-2.63,-2.23
2022-10-01,-6.8,-8.33,-4.31,-6.11
