Date,BorrowSter,BorrowGDP,DebtSter,DebtGdp,BoEGDP,IntSter,IntGDP,IntAPFSter,IntAPFGDP
1/1/1957,0,0,,1.184,0.1045,0.8,0.034,,0.034
1/1/1958,0.1,0.003,,1.143,0.1023,0.8,0.034,,0.034
1/1/1959,0.6,0.023,,1.076,0.1001,0.8,0.033,,0.033
1/1/1960,0.7,0.025,,1.025,0.1002,0.9,0.033,,0.033
1/1/1961,0.6,0.022,,0.995,0.1028,0.9,0.034,,0.034
1/1/1962,0.5,0.018,,0.983,0.103,0.9,0.032,,0.032
1/1/1963,0.9,0.027,,0.907,0.0907,1,0.031,,0.031
1/1/1964,0.7,0.019,,0.842,0.0897,1,0.028,,0.028
1/1/1965,0.6,0.015,,0.809,0.0874,1,0.027,,0.027
1/1/1966,1,0.024,,0.777,0.0885,1.1,0.028,,0.028
1/1/1967,1.6,0.039,,0.77,0.0879,1.2,0.029,,0.029
1/1/1968,0.3,0.006,,0.698,0.0882,1.3,0.028,,0.028
1/1/1969,-0.9,-0.017,,0.611,0.0836,1.3,0.026,,0.026
1/1/1970,-0.3,-0.006,,0.547,0.0768,1.3,0.023,,0.023
1/1/1971,0.6,0.01,,0.526,0.0805,1.5,0.024,,0.024
1/1/1972,1.9,0.026,,0.466,0.067,1.7,0.023,,0.023
1/1/1973,3.4,0.041,,0.452,0.0767,2,0.024,,0.024
1/1/1974,5.6,0.057,52.1,0.478,0.0805,2.4,0.024,,0.024
1/1/1975,7.7,0.063,64.7,0.494,0.0752,3.1,0.026,,0.026
1/1/1976,7,0.049,73.6,0.478,0.0671,4.1,0.029,,0.029
1/1/1977,6.4,0.039,79.5,0.444,0.0621,4.9,0.03,,0.03
1/1/1978,8.7,0.045,88.6,0.422,0.0642,5.9,0.03,,0.03
1/1/1979,8.5,0.037,98.2,0.391,0.0555,7.6,0.033,,0.033
1/1/1980,11.5,0.043,113.8,0.404,0.0505,9.2,0.034,,0.034
1/1/1981,6,0.02,125.2,0.401,0.0479,11.2,0.038,,0.038
1/1/1982,8.5,0.026,132.5,0.387,0.0462,12.1,0.037,,0.037
1/1/1983,11.8,0.033,143.6,0.389,0.0456,13.2,0.037,,0.037
1/1/1984,12.5,0.032,157,0.387,0.0397,14.7,0.038,,0.038
1/1/1985,9,0.021,162.5,0.371,0.0494,16.6,0.039,,0.039
1/1/1986,8.4,0.018,167.8,0.348,0.0453,17.2,0.038,,0.038
1/1/1987,4.7,0.009,167.4,0.31,0.0391,18.4,0.036,,0.036
1/1/1988,-6,-0.011,153.7,0.256,0.0341,19,0.033,,0.033
1/1/1989,-0.6,-0.001,151.9,0.231,0.0329,19.8,0.031,,0.031
1/1/1990,6.2,0.009,151.1,0.217,0.0316,19.5,0.029,,0.029
1/1/1991,23,0.032,165.8,0.229,0.031,17.5,0.025,,0.025
1/1/1992,47.1,0.064,201.9,0.267,0.0307,18.4,0.025,,0.025
1/1/1993,51.6,0.066,249.8,0.312,0.0343,20.1,0.026,,0.026
1/1/1994,43.8,0.053,290,0.346,0.0306,22.8,0.028,,0.028
1/1/1995,35.3,0.041,322.1,0.361,0.0289,26.1,0.03,,0.03
1/1/1996,27.7,0.03,347,0.367,0.0293,27.6,0.03,,0.03
1/1/1997,9,0.009,350.1,0.357,0.0303,29.4,0.031,,0.031
1/1/1998,-1.2,-0.001,348.9,0.339,0.0314,28.9,0.029,,0.029
1/1/1999,-11.5,-0.011,338.8,0.313,0.0389,25.2,0.024,,0.024
1/1/2000,-15.8,-0.014,307,0.272,0.0469,26.2,0.024,,0.024
1/1/2001,5.5,0.005,314,0.268,0.0355,22.3,0.019,,0.019
1/1/2002,34.1,0.028,348,0.281,0.0376,20.9,0.017,,0.017
1/1/2003,41.7,0.033,381.3,0.293,0.0428,22.3,0.018,,0.018
1/1/2004,49.1,0.037,435.6,0.318,0.0411,24.8,0.019,,0.019
1/1/2005,44.2,0.031,474.4,0.326,0.0439,26.5,0.019,,0.019
1/1/2006,39.9,0.027,509.5,0.334,0.0444,28.8,0.019,,0.019
1/1/2007,45,0.029,543.5,0.342,0.053,31.5,0.02,,0.02
1/1/2008,117.3,0.075,755.6,0.487,0.064,31.8,0.02,31.8,0.02
1/1/2009,157.7,0.101,995.3,0.626,0.1059,31.8,0.02,26.2,0.017
1/1/2010,139.9,0.086,1138.6,0.692,0.1605,46.8,0.029,39.1,0.024
1/1/2011,121.6,0.073,1235,0.728,0.1547,49.9,0.03,41.2,0.025
1/1/2012,124.9,0.072,1341.3,0.762,0.1963,49.1,0.028,37,0.021
1/1/2013,104.9,0.058,1441.1,0.78,0.2378,48.9,0.027,36.3,0.02
1/1/2014,96.4,0.051,1526.1,0.802,0.2296,45.4,0.024,33,0.018
1/1/2015,80.7,0.042,1574.6,0.798,0.2215,45.2,0.023,33.5,0.017
1/1/2016,54,0.027,1692.3,0.825,0.223,48.8,0.024,35.6,0.018
1/1/2017,53.7,0.026,1742,0.821,0.268,55.1,0.026,41.6,0.02
1/1/2018,38.2,0.018,1765.4,0.804,0.2981,48.9,0.023,37.6,0.017
1/1/2019,57.2,0.026,1797.7,0.844,0.2867,48.1,0.022,36.7,0.017
1/1/2020,300.3,0.143,2137.5,0.974,0.4465,38.7,0.018,22.3,0.011
