date,category,delinquency_rate
2015-09-01,Has student debt,2.7
2015-12-01,Has student debt,2.7
2016-03-01,Has student debt,2.0
2016-06-01,Has student debt,2.4
2016-09-01,Has student debt,2.8
2016-12-01,Has student debt,2.9
2017-03-01,Has student debt,2.3
2017-06-01,Has student debt,2.4
2017-09-01,Has student debt,2.9
2017-12-01,Has student debt,2.9
2018-03-01,Has student debt,2.3
2018-06-01,Has student debt,2.3
2018-09-01,Has student debt,2.9
2018-12-01,Has student debt,3.0
2019-03-01,Has student debt,2.3
2019-06-01,Has student debt,2.4
2019-09-01,Has student debt,2.8
2019-12-01,Has student debt,2.8
2020-03-01,Has student debt,2.3
2020-06-01,Has student debt,1.3
2020-09-01,Has student debt,1.6
2020-12-01,Has student debt,2.0
2021-03-01,Has student debt,1.4
2021-06-01,Has student debt,1.3
2021-09-01,Has student debt,1.9
2021-12-01,Has student debt,2.2
2022-03-01,Has student debt,1.8
2022-06-01,Has student debt,2.5
2022-09-01,Has student debt,2.8
2022-12-01,Has student debt,3.0
2023-03-01,Has student debt,2.5
2023-06-01,Has student debt,2.5
2023-09-01,Has student debt,3.2
