Date,Current_Calendar_YR,NEXT_Calendar_YR
2022-11-28,7.02,2.24
2022-11-29,7.05,2.25
2022-11-30,7.06,2.34
2022-12-01,7.06,2.39
2022-12-02,7.09,2.46
2022-12-05,7.05,2.4
2022-12-06,6.98,2.29
2022-12-07,6.93,2.29
2022-12-08,6.95,2.34
2022-12-09,6.94,2.29
2022-12-12,6.96,2.36
2022-12-13,6.8,2.4
2022-12-14,6.8,2.43
2022-12-15,6.77,2.38
2022-12-16,6.76,2.23
2022-12-19,6.78,2.31
2022-12-20,6.77,2.34
2022-12-21,6.79,2.4
2022-12-22,6.8,2.33
2022-12-23,6.83,2.38
2022-12-27,6.84,2.43
2022-12-28,6.86,2.41
2022-12-29,6.82,2.47
2022-12-30,2.51,2.25
2023-01-03,2.37,2.2
2023-01-04,2.25,2.14
2023-01-05,2.25,2.21
2023-01-06,2.11,2.24
2023-01-09,1.99,2.22
2023-01-10,2.01,2.21
2023-01-11,1.98,2.2
2023-01-12,2.44,2.19
2023-01-13,2.36,2.25
2023-01-17,2.33,2.19
2023-01-18,2.31,2.13
2023-01-19,2.41,2.18
2023-01-20,2.49,2.14
2023-01-23,2.61,2.11
2023-01-24,2.61,2.13
2023-01-25,2.62,2.13
2023-01-26,2.69,2.19
2023-01-27,2.65,2.19
2023-01-30,2.55,2.21
2023-01-31,2.54,2.16
2023-02-01,2.53,2.2
2023-02-02,2.48,2.18
2023-02-03,2.39,2.3
2023-02-06,2.5,2.34
2023-02-07,2.66,2.37
2023-02-08,2.73,2.43
2023-02-09,2.74,2.4
2023-02-10,2.85,2.35
2023-02-13,2.82,2.33
2023-02-14,2.99,2.28
2023-02-15,3.02,2.3
2023-02-16,3.06,2.32
2023-02-17,3.01,2.28
2023-02-21,3.08,2.34
2023-02-22,3.07,2.32
2023-02-23,3.06,2.32
2023-02-24,3.03,2.32
2023-02-27,3.07,2.3
2023-02-28,3.19,2.35
2023-03-01,3.22,2.39
2023-03-02,3.31,2.45
2023-03-03,3.43,2.53
2023-03-06,3.47,2.56
2023-03-07,3.38,2.44
2023-03-08,3.3,2.4
2023-03-09,3.15,2.31
2023-03-10,3.05,2.1
2023-03-13,2.94,1.84
2023-03-14,3.12,2.05
2023-03-15,3.04,2.01
2023-03-16,3.01,1.92
2023-03-17,2.95,1.76
2023-03-20,2.97,1.82
2023-03-21,3.15,2.04
2023-03-22,3.29,2.02
2023-03-23,3.17,2.01
2023-03-24,3.1,1.98
2023-03-27,3.22,2.07
2023-03-28,3.26,2.22
2023-03-29,3.27,2.23
2023-03-30,3.33,2.22
2023-03-31,3.37,2.25
2023-04-03,3.46,2.15
2023-04-04,3.37,2.06
2023-04-05,3.37,2.05
2023-04-06,3.42,2.1
2023-04-10,3.41,2.15
2023-04-11,3.43,2.21
2023-04-12,3.28,2.18
2023-04-13,3.14,2.2
2023-04-14,3.19,2.25
2023-04-17,3.21,2.29
2023-04-18,3.24,2.29
2023-04-19,3.24,2.33
2023-04-20,3.14,2.31
2023-04-21,3.18,2.32
2023-04-24,3.25,2.32
2023-04-25,3.14,2.24
2023-04-26,3.15,2.23
2023-04-27,3.14,2.27
2023-04-28,3.18,2.22
2023-05-01,3.17,2.19
2023-05-02,3.11,2.09
2023-05-03,3.08,2.12
2023-05-04,3.05,2.01
2023-05-05,3.12,2.12
2023-05-08,3.17,2.19
2023-05-09,3.16,2.22
2023-05-10,3.02,2.07
2023-05-11,2.99,2.07
