"","Year","Quarter","Sector","Measure","Value","SE","Lower.CI","Upper.CI","date"
"40",2024,1,"332","Insufficient supply of materials",10.6,"",NA,NA,2024-01-01
"41",2024,1,"333","Insufficient supply of materials",15.6,"",NA,NA,2024-01-01
"42",2024,1,"334","Insufficient supply of materials",26.1,"",NA,NA,2024-01-01
"43",2024,1,"335","Insufficient supply of materials",14.3,"",NA,NA,2024-01-01
"44",2024,1,"336","Insufficient supply of materials",21.1,"",NA,NA,2024-01-01
"45",2024,1,"337","Insufficient supply of materials",8.3,"",NA,NA,2024-01-01
"46",2024,1,"339","Insufficient supply of materials",10.7,"",NA,NA,2024-01-01
"47",2024,1,"All","Logistics/transportation constraints",3.3,"",NA,NA,2024-01-01
"48",2024,1,"All","Insufficient supply of materials",10.3,"",NA,NA,2024-01-01
"49",2024,1,"All","Insufficient orders",69,"",NA,NA,2024-01-01
"50",2024,1,"All","Insufficient supply of labor",19.8,"",NA,NA,2024-01-01
"51",2023,4,"311","Insufficient supply of materials",16.4,"",NA,NA,2023-10-01
"52",2023,4,"312","Insufficient supply of materials",NA,"",NA,NA,2023-10-01
"53",2023,4,"313","Insufficient supply of materials",13.6,"",NA,NA,2023-10-01
"54",2023,4,"314","Insufficient supply of materials",6.7,"",NA,NA,2023-10-01
"55",2023,4,"315","Insufficient supply of materials",12.2,"",NA,NA,2023-10-01
"56",2023,4,"316","Insufficient supply of materials",14.2,"",NA,NA,2023-10-01
"57",2023,4,"321","Insufficient supply of materials",15.5,"",NA,NA,2023-10-01
"58",2023,4,"322","Insufficient supply of materials",10.9,"",NA,NA,2023-10-01
"59",2023,4,"323","Insufficient supply of materials",9.1,"",NA,NA,2023-10-01
"60",2023,4,"324","Insufficient supply of materials",19.6,"",NA,NA,2023-10-01
"61",2023,4,"325","Insufficient supply of materials",16.6,"",NA,NA,2023-10-01
"62",2023,4,"326","Insufficient supply of materials",7.7,"",NA,NA,2023-10-01
"63",2023,4,"327","Insufficient supply of materials",16.3,"",NA,NA,2023-10-01
"64",2023,4,"331","Insufficient supply of materials",9.9,"",NA,NA,2023-10-01
"65",2023,4,"332","Insufficient supply of materials",19.4,"",NA,NA,2023-10-01
"66",2023,4,"333","Insufficient supply of materials",12.7,"",NA,NA,2023-10-01
"67",2023,4,"334","Insufficient supply of materials",27,"",NA,NA,2023-10-01
"68",2023,4,"335","Insufficient supply of materials",38.4,"",NA,NA,2023-10-01
"69",2023,4,"336","Insufficient supply of materials",27.9,"",NA,NA,2023-10-01
"70",2023,4,"337","Insufficient supply of materials",8.7,"",NA,NA,2023-10-01
"71",2023,4,"339","Insufficient supply of materials",18.2,"",NA,NA,2023-10-01
"72",2023,4,"All","Logistics/transportation constraints",4.7,"",NA,NA,2023-10-01
"73",2023,4,"All","Insufficient supply of materials",16.3,"",NA,NA,2023-10-01
"74",2023,4,"All","Insufficient orders",68.3,"",NA,NA,2023-10-01
"75",2023,4,"All","Insufficient supply of labor",25.4,"",NA,NA,2023-10-01
"76",2023,3,"315","Insufficient supply of materials",34.7,"",NA,NA,2023-07-01
"77",2023,3,"316","Insufficient supply of materials",15.8,"",NA,NA,2023-07-01
"78",2023,3,"321","Insufficient supply of materials",14.7,"",NA,NA,2023-07-01
"79",2023,3,"322","Insufficient supply of materials",NA,"",NA,NA,2023-07-01
"80",2023,3,"323","Insufficient supply of materials",NA,"",NA,NA,2023-07-01
"81",2023,3,"324","Insufficient supply of materials",27.9,"",NA,NA,2023-07-01
"82",2023,3,"325","Insufficient supply of materials",16.7,"",NA,NA,2023-07-01
"83",2023,3,"326","Insufficient supply of materials",14.4,"",NA,NA,2023-07-01
"84",2023,3,"327","Insufficient supply of materials",7.6,"",NA,NA,2023-07-01
"85",2023,3,"331","Insufficient supply of materials",9.9,"",NA,NA,2023-07-01
"86",2023,3,"332","Insufficient supply of materials",19.6,"",NA,NA,2023-07-01
"87",2023,3,"333","Insufficient supply of materials",18.8,"",NA,NA,2023-07-01
"88",2023,3,"334","Insufficient supply of materials",32.4,"",NA,NA,2023-07-01
"89",2023,3,"335","Insufficient supply of materials",44.6,"",NA,NA,2023-07-01
"90",2023,3,"336","Insufficient supply of materials",30.5,"",NA,NA,2023-07-01
"91",2023,3,"337","Insufficient supply of materials",9.9,"",NA,NA,2023-07-01
"92",2023,3,"339","Insufficient supply of materials",22.5,"",NA,NA,2023-07-01
"93",2023,3,"All","Logistics/transportation constraints",5.7,"",NA,NA,2023-07-01
"94",2023,3,"All","Insufficient supply of materials",17.3,"",NA,NA,2023-07-01
"95",2023,3,"All","Insufficient orders",69.1,"",NA,NA,2023-07-01
"96",2023,3,"All","Insufficient supply of labor",29.4,"",NA,NA,2023-07-01
"97",2023,2,"311","Insufficient supply of materials",14.3,"",NA,NA,2023-04-01
"98",2023,2,"312","Insufficient supply of materials",11,"",NA,NA,2023-04-01
"99",2023,2,"313","Insufficient supply of materials",16.3,"",NA,NA,2023-04-01
"100",2023,2,"314","Insufficient supply of materials",2,"",NA,NA,2023-04-01
"101",2023,2,"315","Insufficient supply of materials",33.7,"",NA,NA,2023-04-01
"102",2023,2,"316","Insufficient supply of materials",21.1,"",NA,NA,2023-04-01
"103",2023,2,"321","Insufficient supply of materials",18.4,"",NA,NA,2023-04-01
"104",2023,2,"322","Insufficient supply of materials",999,"",NA,NA,2023-04-01
"105",2023,2,"323","Insufficient supply of materials",3.9,"",NA,NA,2023-04-01
"106",2023,2,"324","Insufficient supply of materials",14.1,"",NA,NA,2023-04-01
"107",2023,2,"325","Insufficient supply of materials",16.7,"",NA,NA,2023-04-01
"108",2023,2,"326","Insufficient supply of materials",14.4,"",NA,NA,2023-04-01
"109",2023,2,"327","Insufficient supply of materials",14.3,"",NA,NA,2023-04-01
"110",2023,2,"331","Insufficient supply of materials",5.1,"",NA,NA,2023-04-01
"111",2023,2,"332","Insufficient supply of materials",21.1,"",NA,NA,2023-04-01
"112",2023,2,"333","Insufficient supply of materials",30.3,"",NA,NA,2023-04-01
"113",2023,2,"334","Insufficient supply of materials",37.8,"",NA,NA,2023-04-01
"114",2023,2,"335","Insufficient supply of materials",42.7,"",NA,NA,2023-04-01
"115",2023,2,"336","Insufficient supply of materials",32.7,"",NA,NA,2023-04-01
"116",2023,2,"337","Insufficient supply of materials",9.5,"",NA,NA,2023-04-01
"117",2023,2,"339","Insufficient supply of materials",27.5,"",NA,NA,2023-04-01
"118",2023,2,"All","Logistics/transportation constraints",5.6,"",NA,NA,2023-04-01
"119",2023,2,"All","Insufficient supply of materials",19.5,"0",NA,NA,2023-04-01
"120",2023,2,"All","Insufficient orders",64.1,"0",NA,NA,2023-04-01
"121",2023,2,"All","Insufficient supply of labor",30.8,"0",NA,NA,2023-04-01
"122",2023,1,"311","Insufficient supply of materials",17.1,"",NA,NA,2023-01-01
"123",2023,1,"312","Insufficient supply of materials",11.6,"0",NA,NA,2023-01-01
"124",2023,1,"313","Insufficient supply of materials",13.5,"0",NA,NA,2023-01-01
"125",2023,1,"314","Insufficient supply of materials",15,"0",NA,NA,2023-01-01
"126",2023,1,"315","Insufficient supply of materials",37.1,"",NA,NA,2023-01-01
"127",2023,1,"316","Insufficient supply of materials",30.8,"",NA,NA,2023-01-01
"128",2023,1,"321","Insufficient supply of materials",21.3,"",NA,NA,2023-01-01
"129",2023,1,"322","Insufficient supply of materials",12.1,"",NA,NA,2023-01-01
"130",2023,1,"323","Insufficient supply of materials",15.3,"",NA,NA,2023-01-01
"131",2023,1,"324","Insufficient supply of materials",1.1,"",NA,NA,2023-01-01
"132",2023,1,"325","Insufficient supply of materials",25.4,"",NA,NA,2023-01-01
"133",2023,1,"326","Insufficient supply of materials",15.6,"",NA,NA,2023-01-01
"134",2023,1,"327","Insufficient supply of materials",13,"",NA,NA,2023-01-01
"135",2023,1,"331","Insufficient supply of materials",8.7,"",NA,NA,2023-01-01
"136",2023,1,"332","Insufficient supply of materials",25.1,"",NA,NA,2023-01-01
"137",2023,1,"333","Insufficient supply of materials",36,"",NA,NA,2023-01-01
"138",2023,1,"334","Insufficient supply of materials",49.5,"",NA,NA,2023-01-01
"139",2023,1,"335","Insufficient supply of materials",38.2,"",NA,NA,2023-01-01
"140",2023,1,"336","Insufficient supply of materials",35.8,"",NA,NA,2023-01-01
"141",2023,1,"337","Insufficient supply of materials",17.4,"",NA,NA,2023-01-01
"142",2023,1,"339","Insufficient supply of materials",31.3,"",NA,NA,2023-01-01
"143",2023,1,"All","Logistics/transportation constraints",5.6,"",NA,NA,2023-01-01
"144",2023,1,"All","Insufficient supply of materials",23.7,"",NA,NA,2023-01-01
"145",2023,1,"All","Insufficient orders",62.1,"",NA,NA,2023-01-01
"146",2023,1,"All","Insufficient supply of labor",34.4,"",NA,NA,2023-01-01
"147",2022,4,"311","Insufficient supply of materials",21.9,"0.7",NA,NA,2022-10-01
"148",2022,4,"312","Insufficient supply of materials",23.2,"2.3",NA,NA,2022-10-01
"149",2022,4,"313","Insufficient supply of materials",9.7,"6.4",NA,NA,2022-10-01
"150",2022,4,"314","Insufficient supply of materials",11.4,"0",NA,NA,2022-10-01
"151",2022,4,"315","Insufficient supply of materials",23.3,"0",NA,NA,2022-10-01
"152",2022,4,"316","Insufficient supply of materials",14.8,"0",NA,NA,2022-10-01
"153",2022,4,"321","Insufficient supply of materials",25.8,"D",NA,NA,2022-10-01
"154",2022,4,"322","Insufficient supply of materials",15.3,"4.8",NA,NA,2022-10-01
"155",2022,4,"323","Insufficient supply of materials",34.6,"D",NA,NA,2022-10-01
"156",2022,4,"324","Insufficient supply of materials",19.9,"D",NA,NA,2022-10-01
"157",2022,4,"325","Insufficient supply of materials",24.3,"D",NA,NA,2022-10-01
"158",2022,4,"326","Insufficient supply of materials",20.9,"0.5",NA,NA,2022-10-01
"159",2022,4,"327","Insufficient supply of materials",15.9,"D",NA,NA,2022-10-01
"160",2022,4,"331","Insufficient supply of materials",15,"0",NA,NA,2022-10-01
"161",2022,4,"332","Insufficient supply of materials",21.8,"1.5",NA,NA,2022-10-01
"162",2022,4,"333","Insufficient supply of materials",41,"1.6",NA,NA,2022-10-01
"163",2022,4,"334","Insufficient supply of materials",60.3,"1.7",NA,NA,2022-10-01
"164",2022,4,"335","Insufficient supply of materials",34.5,"0.9",NA,NA,2022-10-01
"165",2022,4,"336","Insufficient supply of materials",49.1,"7.9",NA,NA,2022-10-01
"166",2022,4,"337","Insufficient supply of materials",37.6,"4.5",NA,NA,2022-10-01
"167",2022,4,"339","Insufficient supply of materials",24.8,"D",NA,NA,2022-10-01
"168",2022,4,"All","Logistics/transportation constraints",9.5,"4",NA,NA,2022-10-01
"169",2022,4,"All","Insufficient supply of materials",27.7,"1.7",NA,NA,2022-10-01
"170",2022,4,"All","Insufficient orders",60,"5.7",NA,NA,2022-10-01
"171",2022,4,"All","Insufficient supply of labor",37.2,"6.9",NA,NA,2022-10-01
"172",2022,3,"All","Logistics/transportation constraints",10.9,"16.1",NA,NA,2022-07-01
"173",2022,3,"All","Insufficient supply of materials",34.2,"17.7",NA,NA,2022-07-01
"174",2022,3,"All","Insufficient orders",53.8,"13.3",NA,NA,2022-07-01
"175",2022,3,"All","Insufficient supply of labor",42.8,"36.2",NA,NA,2022-07-01
"176",2022,3,"311","Insufficient supply of materials",27.2,"7.3",NA,NA,2022-07-01
"177",2022,3,"312","Insufficient supply of materials",18.6,"10.4",NA,NA,2022-07-01
"178",2022,3,"313","Insufficient supply of materials",35.2,"7.8",NA,NA,2022-07-01
"179",2022,3,"314","Insufficient supply of materials",16.6,"15",NA,NA,2022-07-01
"180",2022,3,"315","Insufficient supply of materials",21.6,"6.1",NA,NA,2022-07-01
"181",2022,3,"316","Insufficient supply of materials",47.2,"7.3",NA,NA,2022-07-01
"182",2022,3,"321","Insufficient supply of materials",31.9,"6.6",NA,NA,2022-07-01
"183",2022,3,"322","Insufficient supply of materials",26.3,"10.1",NA,NA,2022-07-01
"184",2022,3,"323","Insufficient supply of materials",39.4,"4.1",NA,NA,2022-07-01
"185",2022,3,"324","Insufficient supply of materials",25.9,"5.6",NA,NA,2022-07-01
"186",2022,3,"325","Insufficient supply of materials",32.6,"5.6",NA,NA,2022-07-01
"187",2022,3,"326","Insufficient supply of materials",35,"8.5",NA,NA,2022-07-01
"188",2022,3,"327","Insufficient supply of materials",27.4,"7.7",NA,NA,2022-07-01
"189",2022,3,"331","Insufficient supply of materials",11.3,"8.3",NA,NA,2022-07-01
"190",2022,3,"332","Insufficient supply of materials",28.4,"6.9",NA,NA,2022-07-01
"191",2022,3,"333","Insufficient supply of materials",48.8,"0.8",NA,NA,2022-07-01
"192",2022,3,"334","Insufficient supply of materials",57.8,"3.2",NA,NA,2022-07-01
"193",2022,3,"335","Insufficient supply of materials",36.8,"6.7",NA,NA,2022-07-01
"194",2022,3,"336","Insufficient supply of materials",46.5,"D",NA,NA,2022-07-01
"195",2022,3,"337","Insufficient supply of materials",45.7,"D",NA,NA,2022-07-01
"196",2022,3,"339","Insufficient supply of materials",36.2,"3.7",NA,NA,2022-07-01
"197",2022,2,"All","Building capital expenditures",3.8,"D",NA,NA,2022-04-01
"198",2022,2,"311","Building capital expenditures",3.4,"3.2",NA,NA,2022-04-01
"199",2022,2,"312","Building capital expenditures",9.3,"6.2",NA,NA,2022-04-01
"200",2022,2,"313","Building capital expenditures",0,"0",NA,NA,2022-04-01
"201",2022,2,"314","Building capital expenditures",0,"1.6",NA,NA,2022-04-01
"202",2022,2,"315","Building capital expenditures",0,"2.7",NA,NA,2022-04-01
"203",2022,2,"316","Building capital expenditures",NA,"3.3",NA,NA,2022-04-01
"204",2022,2,"321","Building capital expenditures",9.3,"3.3",NA,NA,2022-04-01
"205",2022,2,"322","Building capital expenditures",NA,"6.8",NA,NA,2022-04-01
"206",2022,2,"323","Building capital expenditures",NA,"2",NA,NA,2022-04-01
"207",2022,2,"324","Building capital expenditures",NA,"2.1",NA,NA,2022-04-01
"208",2022,2,"325","Building capital expenditures",1.1,"0.7",NA,NA,2022-04-01
"209",2022,2,"326","Building capital expenditures",NA,"D",NA,NA,2022-04-01
"210",2022,2,"327","Building capital expenditures",0,"3.8",NA,NA,2022-04-01
"211",2022,2,"331","Building capital expenditures",2.6,"7.2",NA,NA,2022-04-01
"212",2022,2,"332","Building capital expenditures",3.4,"3.5",NA,NA,2022-04-01
"213",2022,2,"333","Building capital expenditures",2.4,"1.5",NA,NA,2022-04-01
"214",2022,2,"334","Building capital expenditures",1.9,"4.2",NA,NA,2022-04-01
"215",2022,2,"335","Building capital expenditures",11.6,"7.8",NA,NA,2022-04-01
"216",2022,2,"336","Building capital expenditures",9,"13.9",NA,NA,2022-04-01
"217",2022,2,"337","Building capital expenditures",NA,"12.2",NA,NA,2022-04-01
"218",2022,2,"339","Building capital expenditures",6.7,"12.6",NA,NA,2022-04-01
"219",2022,2,"All","Price changed, product mix same",34,"20.5",NA,NA,2022-04-01
"220",2022,2,"311","Price changed, product mix same",44.6,"7.1",NA,NA,2022-04-01
"221",2022,2,"312","Price changed, product mix same",13.2,"9.4",NA,NA,2022-04-01
"222",2022,2,"313","Price changed, product mix same",70.2,"7.2",NA,NA,2022-04-01
"223",2022,2,"314","Price changed, product mix same",32.9,"14.3",NA,NA,2022-04-01
"224",2022,2,"315","Price changed, product mix same",22.9,"5.3",NA,NA,2022-04-01
"225",2022,2,"316","Price changed, product mix same",40.9,"6",NA,NA,2022-04-01
"226",2022,2,"321","Price changed, product mix same",48.6,"5.6",NA,NA,2022-04-01
"227",2022,2,"322","Price changed, product mix same",60.9,"6.1",NA,NA,2022-04-01
"228",2022,2,"323","Price changed, product mix same",17.8,"3.6",NA,NA,2022-04-01
"229",2022,2,"324","Price changed, product mix same",27.4,"5.1",NA,NA,2022-04-01
"230",2022,2,"325","Price changed, product mix same",50.5,"7.1",NA,NA,2022-04-01
"231",2022,2,"326","Price changed, product mix same",32.6,"8.5",NA,NA,2022-04-01
"232",2022,2,"327","Price changed, product mix same",28.8,"7.5",NA,NA,2022-04-01
"233",2022,2,"331","Price changed, product mix same",57.5,"9.5",NA,NA,2022-04-01
"234",2022,2,"332","Price changed, product mix same",33.5,"7.5",NA,NA,2022-04-01
"235",2022,2,"333","Price changed, product mix same",32.9,"1.6",NA,NA,2022-04-01
"236",2022,2,"334","Price changed, product mix same",16.9,"4.8",NA,NA,2022-04-01
"237",2022,2,"335","Price changed, product mix same",19.1,"9.4",NA,NA,2022-04-01
"238",2022,2,"336","Price changed, product mix same",27.6,"14",NA,NA,2022-04-01
"239",2022,2,"337","Price changed, product mix same",26,"13.9",NA,NA,2022-04-01
"240",2022,2,"339","Price changed, product mix same",24.9,"11.3",NA,NA,2022-04-01
"241",2022,2,"All","Not profitable to operate at full capacity",7.2,"36.7",NA,NA,2022-04-01
"242",2022,2,"311","Not profitable to operate at full capacity",11.8,"7.2",NA,NA,2022-04-01
"243",2022,2,"312","Not profitable to operate at full capacity",15.1,"9.8",NA,NA,2022-04-01
"244",2022,2,"313","Not profitable to operate at full capacity",NA,"6.8",NA,NA,2022-04-01
"245",2022,2,"314","Not profitable to operate at full capacity",NA,"15.5",NA,NA,2022-04-01
"246",2022,2,"315","Not profitable to operate at full capacity",6.1,"5.4",NA,NA,2022-04-01
"247",2022,2,"316","Not profitable to operate at full capacity",NA,"6.3",NA,NA,2022-04-01
"248",2022,2,"321","Not profitable to operate at full capacity",7.1,"7",NA,NA,2022-04-01
"249",2022,2,"322","Not profitable to operate at full capacity",10.5,"8.9",NA,NA,2022-04-01
"250",2022,2,"323","Not profitable to operate at full capacity",0,"3.8",NA,NA,2022-04-01
"251",2022,2,"324","Not profitable to operate at full capacity",3,"5.1",NA,NA,2022-04-01
"252",2022,2,"325","Not profitable to operate at full capacity",9.3,"7.3",NA,NA,2022-04-01
"253",2022,2,"326","Not profitable to operate at full capacity",7.1,"8.8",NA,NA,2022-04-01
"254",2022,2,"327","Not profitable to operate at full capacity",6.6,"7.6",NA,NA,2022-04-01
"255",2022,2,"331","Not profitable to operate at full capacity",12.8,"9.5",NA,NA,2022-04-01
"256",2022,2,"332","Not profitable to operate at full capacity",7.2,"7.4",NA,NA,2022-04-01
"257",2022,2,"333","Not profitable to operate at full capacity",5.1,"1.6",NA,NA,2022-04-01
"258",2022,2,"334","Not profitable to operate at full capacity",1.5,"4.6",NA,NA,2022-04-01
"259",2022,2,"335","Not profitable to operate at full capacity",NA,"5.6",NA,NA,2022-04-01
"260",2022,2,"336","Not profitable to operate at full capacity",6.5,"12",NA,NA,2022-04-01
"261",2022,2,"337","Not profitable to operate at full capacity",14.2,"11.9",NA,NA,2022-04-01
"262",2022,2,"339","Not profitable to operate at full capacity",5.7,"15.6",NA,NA,2022-04-01
"263",2022,2,"All","Insufficient supply of materials",39.5,"36.4",NA,NA,2022-04-01
"264",2022,2,"311","Insufficient supply of materials",25.6,"7.5",NA,NA,2022-04-01
"265",2022,2,"312","Insufficient supply of materials",22.8,"7.7",NA,NA,2022-04-01
"266",2022,2,"313","Insufficient supply of materials",42.6,"6.8",NA,NA,2022-04-01
"267",2022,2,"314","Insufficient supply of materials",28,"11.1",NA,NA,2022-04-01
"268",2022,2,"315","Insufficient supply of materials",19.2,"5.4",NA,NA,2022-04-01
"269",2022,2,"316","Insufficient supply of materials",26,"6.3",NA,NA,2022-04-01
"270",2022,2,"321","Insufficient supply of materials",35.6,"7",NA,NA,2022-04-01
"271",2022,2,"322","Insufficient supply of materials",30.1,"9",NA,NA,2022-04-01
"272",2022,2,"323","Insufficient supply of materials",37.1,"3.8",NA,NA,2022-04-01
"273",2022,2,"324","Insufficient supply of materials",29.9,"5.2",NA,NA,2022-04-01
"274",2022,2,"325","Insufficient supply of materials",47.3,"6.7",NA,NA,2022-04-01
"275",2022,2,"326","Insufficient supply of materials",37.5,"8.7",NA,NA,2022-04-01
"276",2022,2,"327","Insufficient supply of materials",21.3,"7.4",NA,NA,2022-04-01
"277",2022,2,"331","Insufficient supply of materials",15.3,"9.3",NA,NA,2022-04-01
"278",2022,2,"332","Insufficient supply of materials",35.3,"7.2",NA,NA,2022-04-01
"279",2022,2,"333","Insufficient supply of materials",55.7,"1",NA,NA,2022-04-01
"280",2022,2,"334","Insufficient supply of materials",63.1,"3.3",NA,NA,2022-04-01
"281",2022,2,"335","Insufficient supply of materials",65.6,"6.2",NA,NA,2022-04-01
"282",2022,2,"336","Insufficient supply of materials",54.8,"9.3",NA,NA,2022-04-01
"283",2022,2,"337","Insufficient supply of materials",49.1,"11.8",NA,NA,2022-04-01
"284",2022,2,"339","Insufficient supply of materials",43.6,"D",NA,NA,2022-04-01
"285",2022,2,"All","Insufficient orders",50.9,"D",NA,NA,2022-04-01
"286",2022,2,"311","Insufficient orders",57.6,"5.5",NA,NA,2022-04-01
"287",2022,2,"312","Insufficient orders",52.4,"8.7",NA,NA,2022-04-01
"288",2022,2,"313","Insufficient orders",62.7,"2.7",NA,NA,2022-04-01
"289",2022,2,"314","Insufficient orders",58.8,"2.6",NA,NA,2022-04-01
"290",2022,2,"315","Insufficient orders",21.6,"3.8",NA,NA,2022-04-01
"291",2022,2,"316","Insufficient orders",42.3,"4.2",NA,NA,2022-04-01
"292",2022,2,"321","Insufficient orders",36.7,"5",NA,NA,2022-04-01
"293",2022,2,"322","Insufficient orders",49.5,"5.1",NA,NA,2022-04-01
"294",2022,2,"323","Insufficient orders",70.1,"2.5",NA,NA,2022-04-01
"295",2022,2,"324","Insufficient orders",37.2,"3",NA,NA,2022-04-01
"296",2022,2,"325","Insufficient orders",51.5,"4.4",NA,NA,2022-04-01
"297",2022,2,"326","Insufficient orders",52.5,"4.4",NA,NA,2022-04-01
"298",2022,2,"327","Insufficient orders",37.4,"5",NA,NA,2022-04-01
"299",2022,2,"331","Insufficient orders",42.3,"8.3",NA,NA,2022-04-01
"300",2022,2,"332","Insufficient orders",56,"0.6",NA,NA,2022-04-01
"301",2022,2,"333","Insufficient orders",39.7,"0.7",NA,NA,2022-04-01
"302",2022,2,"334","Insufficient orders",50.9,"1.8",NA,NA,2022-04-01
"303",2022,2,"335","Insufficient orders",41.4,"6.3",NA,NA,2022-04-01
"304",2022,2,"336","Insufficient orders",50.8,"13.5",NA,NA,2022-04-01
"305",2022,2,"337","Insufficient orders",45.8,"D",NA,NA,2022-04-01
"306",2022,2,"339","Insufficient orders",60.1,"D",NA,NA,2022-04-01
"307",2022,2,"All","Insufficient supply of labor",44.7,"D",NA,NA,2022-04-01
"308",2022,2,"311","Insufficient supply of labor",32.2,"1.5",NA,NA,2022-04-01
"309",2022,2,"312","Insufficient supply of labor",11.3,"1.5",NA,NA,2022-04-01
"310",2022,2,"313","Insufficient supply of labor",30.3,"0",NA,NA,2022-04-01
"311",2022,2,"314","Insufficient supply of labor",24.7,"1",NA,NA,2022-04-01
"312",2022,2,"315","Insufficient supply of labor",48.5,"3.7",NA,NA,2022-04-01
"313",2022,2,"316","Insufficient supply of labor",50.1,"2.5",NA,NA,2022-04-01
"314",2022,2,"321","Insufficient supply of labor",51.4,"3.7",NA,NA,2022-04-01
"315",2022,2,"322","Insufficient supply of labor",68.9,"0.6",NA,NA,2022-04-01
"316",2022,2,"323","Insufficient supply of labor",30.4,"1.1",NA,NA,2022-04-01
"317",2022,2,"324","Insufficient supply of labor",13,"2.7",NA,NA,2022-04-01
"318",2022,2,"325","Insufficient supply of labor",40.5,"3.1",NA,NA,2022-04-01
"319",2022,2,"326","Insufficient supply of labor",54.6,"4.7",NA,NA,2022-04-01
"320",2022,2,"327","Insufficient supply of labor",40.9,"2.7",NA,NA,2022-04-01
"321",2022,2,"331","Insufficient supply of labor",58.9,"D",NA,NA,2022-04-01
"322",2022,2,"332","Insufficient supply of labor",56.6,"3.7",NA,NA,2022-04-01
"323",2022,2,"333","Insufficient supply of labor",53.4,"0.9",NA,NA,2022-04-01
"324",2022,2,"334","Insufficient supply of labor",32.1,"3.1",NA,NA,2022-04-01
"325",2022,2,"335","Insufficient supply of labor",43.5,"6.9",NA,NA,2022-04-01
"326",2022,2,"336","Insufficient supply of labor",38.9,"D",NA,NA,2022-04-01
"327",2022,2,"337","Insufficient supply of labor",62.5,"D",NA,NA,2022-04-01
"328",2022,2,"339","Insufficient supply of labor",35.9,"6.7",NA,NA,2022-04-01
"329",2022,2,"All","Logistics/transportation constraints",13.3,"D",NA,NA,2022-04-01
"330",2022,2,"311","Logistics/transportation constraints",14.4,"3.6",NA,NA,2022-04-01
"331",2022,2,"312","Logistics/transportation constraints",11.8,"7.8",NA,NA,2022-04-01
