"","I_COMMODITY","value","tariff_val","effective_tariff","round_tariff","I_COMMODITY_LDESC"
"68","1803",1168558,116855.8,0.1,0.1,"COCOA PASTE, WHETHER OR NOT DEFATTED"
"69","1805",115955,11595.5,0.1,0.1,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
"70","1806",18330857,1833085.7,0.1,0.1,"CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA"
"71","1901",3969853,396985.3,0.1,0.1,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, MEAL ETC. CONTAINING UNDER 40% COCOA NESOI; FOOD PREPARATIONS OF MILK ETC. CONTAINING UNDER 50% COCOA NESOI"
"72","1902",3669083,366908.3,0.1,0.1,"PASTA, WHETHER OR NOT COOKED OR STUFFED OR OTHERWISE PREPARED, INCLUDING SPAGETTI, LASAGNA, NOODLES ETC.; COUSCOUS, WHETHER OR NOT PREPARED"
"73","1903",23816,2381.6,0.1,0.1,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS OR SIMILAR FORMS"
"74","1904",1707143,170714.3,0.1,0.1,"PREPARED FOODS FROM SWELLING OR ROASTING CEREALS OR PRODUCTS; CEREALS (EXC CORN), IN GRAIN FORM FLAKES OR WORKED GRAIN PREPARED N.E.S.O.I"
"75","1905",83270305,8327030.5,0.1,0.1,"BREAD, PASTRY, CAKES, BISUITS AND OTHER BAKERS' WARES; COMMUNION WAFERS, EMPTY CAPSULES FOR MEDICINE ETC., SEALING WAFERS, RICE PAPER ETC."
"76","2001",3568485,356848.5,0.1,0.1,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
"77","2002",696797,69679.7,0.1,0.1,"TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
"78","2003",10599,1059.9,0.1,0.1,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
"79","2004",2167661,216766.1,0.1,0.1,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, EXC PRODUCTS OF 2006"
"80","2005",10451165,1045116.5,0.1,0.1,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN EXC PRDCTS OF 2006"
"81","2006",52425,5242.5,0.1,0.1,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLIZED)"
"82","2007",1693707,169370.7,0.1,0.1,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SWEETENING"
"83","2008",24530287,2453028.7,0.1,0.1,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SWEETENING OR SPIRIT, NESOI"
"84","2009",535075,53507.5,0.1,0.1,"FRUIT OR NUT JUICES INCL GRAPE MUST AND COCONUT WATER, AND VEGETABLE JUICES, UNFERMENTED AND NOT CONT ADDED SPIRIT WHETHER OR NOT CONT ADDED SUGAR ETC"
"85","2101",1961783,196178.3,0.1,0.1,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS THEREOF; ROASTED CHICORY ETC. AND ITS EXTRACTS, ESSENCES AND CONCENTRATES"
"86","2102",2161733,216173.3,0.1,0.1,"YEASTS; OTHER SINGLE-CELL MICRO-ORGANISMS, DEAD (OTHER THAN MEDICINAL VACCINES OF HEADING 3002); PREPARED BAKING POWDERS"
"87","2103",4558906,455890.6,0.1,0.1,"SAUCES AND PREPARATIONS THEREFOR; MIXED CONDIMENTS AND MIXED SEASONINGS; MUSTARD FLOUR AND MEAL AND PREPARED MUSTARD"
"88","2104",5103578,510357.8,0.1,0.1,"SOUPS AND BROTHS AND PREPARATIONS THEREFOR; HOMOGENIZED COMPOSITE FOOD PREPARATIONS"
"89","2105",4129246,412924.6,0.1,0.1,"ICE CREAM AND OTHER EDIBLE ICE, WHETHER OR NOT CONTAINING COCOA"
"90","2106",63756519,6375651.9,0.1,0.1,"FOOD PREPARATIONS NESOI"
"91","2201",18810,1881,0.1,0.1,"WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SWEETENING NOR FLAVORED; ICE AND SNOW"
"92","2202",4649943,464994.3,0.1,0.1,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SWEETENING OR FLAVORED, AND OTHER NONALCOHOLIC BEVERAGES NESOI"
"93","2203",96292,9629.2,0.1,0.1,"BEER MADE FROM MALT"
"94","2204",45449622,4544962.2,0.1,0.1,"WINE OF FRESH GRAPES, INCLUDING FORTIFIED WINES; GRAPE MUST (HAVING AN ALCOHOLIC STRENGTH BY VOLUME EXCEEDING 0.5% VOL.) NESOI"
"95","2205",2081,208.1,0.1,0.1,"VERMOUTH AND OTHER WINE OF FRESH GRAPES FLAVORED WITH PLANTS OR AROMATIC SUBSTANCES"
"96","2208",2788142,278814.2,0.1,0.1,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES"
"97","2209",3090,309,0.1,0.1,"VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID"
"98","2309",901242,90124.2,0.1,0.1,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING"
"99","2501",13311567,1331156.7,0.1,0.1,"SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE,  WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER"
"100","2505",12430,1243,0.1,0.1,"NATURAL SANDS OF ALL KINDS, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26"
"101","2506",112271,11227.1,0.1,0.1,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF A RECTANGULAR OR SQUARE SHAPE"
"102","2508",7329,732.9,0.1,0.1,"CLAYS NESOI (NOT INCLUDING EXPANDED CLAYS OF HEADING 6806), ANDALUSITE, KYANITE AND SILLIMANITE (CALCINED OR NOT); MULLITE; CHAMOTTE OR DINAS EARTHS"
"103","2517",54800,5480,0.1,0.1,"PEBBLES, GRAVEL ETC. USED FOR CONCRETE AGGREGATES ETC.; MACADAM OF SLAG, DROSS ETC.; GRANULES, CHIPPINGS AND POWDER OF MARBLE, ALABASTER, GRANITE ETC."
"104","2519",26893039,963731.1,0.0358357082663659,0.04,"NATURAL MAGNESIUM CARBONATE; FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA; OTHER MAGNESIUM OXIDE, WHETHER OR NOT PURE"
"105","2520",60024,6002.4,0.1,0.1,"GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCINED SULFATE)"
"106","2522",6157,615.7,0.1,0.1,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825"
"107","2530",95040,0,0,0,"MINERAL SUBSTANCES NESOI"
"108","2602",6874,0,0,0,"MANGANESE ORES AND CONCENTRATES, INCLUDING FERRUGINOUS MANGANESE ORES AND CONCENTRATES WITH A MANGANESE CONTENT OF 20% OR MORE, BASED ON DRY WEIGHT"
"109","2703",16280,0,0,0,"PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED"
"110","2707",7235223,0,0,0,"OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR; SIMILAR PRODUCTS IN WHICH THE WEIGHT OF AROMATIC CONSTITUENTS PREDOMINATE"
"111","2710",182632659,0,0,0,"PETROLEUM OILS& OILS FROM BITUMINOUS MINS (OTHER THAN CRUDE)& PRODUCTS THEREFROM, NESOI, CONTAINING 70% (BY WEIGHT) OR MORE OF THESE OILS; WASTE OILS"
"112","2801",88096,8809.6,0.1,0.1,"FLUORINE, CHLORINE, BROMINE AND IODINE"
"113","2804",50000,5000,0.1,0.1,"HYDROGEN, RARE GASES AND OTHER NONMETALS"
"114","2806",555022,55502.2,0.1,0.1,"HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULFURIC ACID"
"115","2809",18725150,1872515,0.1,0.1,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS"
"116","2810",5216,521.6,0.1,0.1,"OXIDES OF BORON; BORIC ACIDS"
"117","2811",9219931,921993.1,0.1,0.1,"INORGANIC ACIDS NESOI AND INORGANIC OXYGEN COMPOUNDS OF NONMETALS NESOI"
"118","2815",336049,26553,0.0790152626551485,0.08,"SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM"
"119","2816",5812735,0,0,0,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES OF STRONTIUM OR BARIUM"
"120","2818",27360,0,0,0,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINUM OXIDE; ALUMINUM HYDROXIDE"
"121","2827",116077544,10147629.5,0.0874211251402769,0.09,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES"
"122","2833",14123,0,0,0,"SULFATES; ALUMS; PEROXOSULFATES (PERSULFATES)"
"123","2834",374938,0,0,0,"NITRITES; NITRATES"
"124","2835",19802540,1980254,0.1,0.1,"PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES AND POLYPHOSPHATES"
"125","2836",1889362,28096.1,0.0148706812140818,0.01,"CARBONATES; PEROXOCARBONATES (PERCARBONATES); COMMERCIAL AMMONIUM CARBONATE CONTAINING AMMONIUM CARBAMATE"
"126","2844",725930,0,0,0,"RADIOACTIVE CHEMICAL ELEMENTS AND ISOTOPES AND THEIR COMPOUNDS; MIXTURES AND RESIDUES CONTAINING THESE PRODUCTS"
"127","2845",9810679,318817.9,0.0324970269641887,0.03,"STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED"
"128","2846",243100,0,0,0,"RARE-EARTH METAL COMPOUNDS, INORGANIC OR ORGANIC, OF YTTRIUM OR SCANDIUM OR OF MIXTURES OF THESE METALS"
"129","2849",8430847,17900,0.00212315559753368,0,"CARBIDES, WHETHER OR NOT CHEMICALLY DEFINED"
"130","2850",5205,520.5,0.1,0.1,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED"
"131","2853",59719,0,0,0,"INORGANIC COMPOUNDS NESOI; LIQUID AIR; COMPRESSED AIR; AMALGAMS, OTHER THAN OF PRECIOUS METALS"
"132","2901",2132101,213210.1,0.1,0.1,"ACYCLIC HYDROCARBONS"
"133","2902",12629133,1262913.3,0.1,0.1,"CYCLIC HYDROCARBONS"
"134","2903",4238973,419716.5,0.0990137233712034,0.1,"HALOGENATED DERIVATIVES OF HYDROCARBONS"
"135","2905",7551925,415261.8,0.0549875429112445,0.05,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES"
"136","2906",845136,3193.4,0.00377856345014294,0,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES"
"137","2908",1318252,123815.2,0.0939237717826334,0.09,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS"
"138","2909",1919360,168994.8,0.0880474741580527,0.09,"ETHERS,ETHER-ALCOHOLS,ETHER-PHENOLS,ETHER-ALCOHOLPHENOLS,ALCOHOL PEROXIDES,ETHER PEROXIDES,ACETAL AND HEMIACETAL PEROXIDES,KETONE PEROXIDES AND DERIV"
"139","2910",922391,92239.1,0.1,0.1,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EPOXYETHERS WITH A THREE-MEMBERED RING, AND HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVE"
"140","2914",13253130,1317713.5,0.0994265882851824,0.1,"KETONES AND QUINONES, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES"
"141","2915",1043166,95695,0.0917351600799873,0.09,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES"
"142","2916",653778,813.9,0.00124491799968797,0,"ACYCLIC (UNSATURATED) AND CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES"
"143","2917",6244100,624410,0.1,0.1,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES"
"144","2918",56729358,5175013.5,0.0912228462024901,0.09,"CARBOXYLIC ACIDS WITH ADDED OXYGEN FUNCTION AND THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DERIVATIVES"
"145","2921",124369,252.5,0.00203024869541445,0,"AMINE-FUNCTION COMPOUNDS"
"146","2922",471936,4967,0.0105247321670735,0.01,"OXYGEN-FUNCTION AMINO-COMPOUNDS"
"147","2923",9632396,0,0,0,"QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS"
"148","2924",9214099,131408.2,0.0142616440305232,0.01,"CARBOXYAMIDE-FUNCTION COMPOUNDS; AMIDE-FUNCTION COMPOUNDS OF CARBONIC ACID"
"149","2925",185210,0,0,0,"CARBOXYIMIDE-FUNCTION COMPOUNDS (INCLUDING SACCHARIN AND ITS SALTS) AND IMINE-FUNCTION COMPOUNDS"
"150","2926",10303298,1030329.8,0.1,0.1,"NITRILE-FUNCTION COMPOUNDS"
"151","2928",149888,0,0,0,"ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE"
"152","2930",4183448,284548.3,0.06801764955606,0.07,"ORGANO-SULFUR COMPOUNDS"
"153","2931",250395,13717.4,0.054783042792388,0.05,"ORGANO-INORGANIC COMPOUNDS, NESOI"
"154","2932",8169742,0,0,0,"HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOM(S) ONLY"
"155","2933",43039137,0,0,0,"HETEROCYCLIC COMPOUNDS WITH NITROGEN HETERO-ATOM(S) ONLY"
"156","2934",1692844,0,0,0,"NUCLEIC ACIDS AND THEIR SALTS, OTHER HETEROCYCLIC COMPOUNDS"
"157","2935",4960724,0,0,0,"SULFONAMIDES"
"158","2936",1554676,0,0,0,"PROVITAMINS AND VITAMINS, NATURAL OR SYNTHETIC, DERIVATIVES THEREOF USED PRIMARILY AS VITAMINS, AND INTERMIXTURES OF THE FOREGOING"
"159","2937",7083148,0,0,0,"HORMONES, NATURAL OR SYNTHETIC; DERIVATIVES THEREOF AND OTHER STERIODS USED PRIMARILY AS HORMONES"
"160","2938",62824,0,0,0,"GLYCOSIDES, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES"
"161","2939",396333,0,0,0,"VEGETABLE ALKALOIDS, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES"
"162","2940",3105524,0,0,0,"SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI"
"163","2941",5369981,0,0,0,"ANTIBIOTICS"
"164","2942",32796,0,0,0,"ORGANIC COMPOUNDS NESOI"
"165","3001",3702611,0,0,0,"GLANDS AND OTHER ORGANS, DRIED, AND THEIR EXTRACTS ETC. FOR THERAPEUTIC ETC. USE; HEPARIN AND SALTS; HUMAN ETC. SUBSTANCES FOR THERAPEUTICS ETC. NESOI"
"166","3002",152074806,0,0,0,"HUMAN AND ANIMAL BLOOD, PREPARED; ANTISERA OTHER BLOOD FRCTNS IMMUNOLOGICAL PROD; VACCINES, TXNS, CULTURES OF MICRO-ORGANISMS (EXC YEASTS) & LIKE PROD"
"167","3003",36969659,0,0,0,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), CONSISTING OF MIXTURES FOR THERAPEUTIC ETC. USES, NOT IN DOSAGE OR RETAIL SALE FORM"
