Year,Quarter,Sector,Measure,Value,SE,Lower CI,Upper CI
2022,2,331,"Price changed, product mix same",57.5 ,10.1 ,,
2022,2,332,"Price changed, product mix same",33.5 ,4.1 ,,
2022,2,333,"Price changed, product mix same",32.9 ,5.6 ,,
2022,2,334,"Price changed, product mix same",16.9 ,5.6 ,,
2022,2,335,"Price changed, product mix same",19.1 ,8.5 ,,
2022,2,336,"Price changed, product mix same",27.6 ,7.7 ,,
2022,2,337,"Price changed, product mix same",26.0 ,8.3 ,,
2022,2,339,"Price changed, product mix same",24.9 ,6.9 ,,
2022,2,All,Not profitable to operate at full capacity,7.2 ,0.8 ,,
2022,2,311,Not profitable to operate at full capacity,11.8 ,3.2 ,,
2022,2,312,Not profitable to operate at full capacity,15.1 ,6.7 ,,
2022,2,313,Not profitable to operate at full capacity,D,D,,
2022,2,314,Not profitable to operate at full capacity,D,D,,
2022,2,315,Not profitable to operate at full capacity,6.1 ,3.7 ,,
2022,2,316,Not profitable to operate at full capacity,D,D,,
2022,2,321,Not profitable to operate at full capacity,7.1 ,3.2 ,,
2022,2,322,Not profitable to operate at full capacity,10.5 ,6.2 ,,
2022,2,323,Not profitable to operate at full capacity,0.0 ,0.0 ,,
2022,2,324,Not profitable to operate at full capacity,3.0 ,1.6 ,,
2022,2,325,Not profitable to operate at full capacity,9.3 ,2.7 ,,
2022,2,326,Not profitable to operate at full capacity,7.1 ,3.3 ,,
2022,2,327,Not profitable to operate at full capacity,6.6 ,3.3 ,,
2022,2,331,Not profitable to operate at full capacity,12.8 ,6.8 ,,
2022,2,332,Not profitable to operate at full capacity,7.2 ,2.0 ,,
2022,2,333,Not profitable to operate at full capacity,5.1 ,2.1 ,,
2022,2,334,Not profitable to operate at full capacity,1.5 ,0.7 ,,
2022,2,335,Not profitable to operate at full capacity,D,D,,
2022,2,336,Not profitable to operate at full capacity,6.5 ,3.8 ,,
2022,2,337,Not profitable to operate at full capacity,14.2 ,7.2 ,,
2022,2,339,Not profitable to operate at full capacity,5.7 ,3.5 ,,
2022,2,All,Insufficient supply of materials,39.5 ,1.5 ,,
2022,2,311,Insufficient supply of materials,25.6 ,4.2 ,,
2022,2,312,Insufficient supply of materials,22.8 ,7.8 ,,
2022,2,313,Insufficient supply of materials,42.6 ,13.9 ,,
2022,2,314,Insufficient supply of materials,28.0 ,12.2 ,,
2022,2,315,Insufficient supply of materials,19.2 ,12.6 ,,
2022,2,316,Insufficient supply of materials,26.0 ,20.5 ,,
2022,2,321,Insufficient supply of materials,35.6 ,7.1 ,,
2022,2,322,Insufficient supply of materials,30.1 ,9.4 ,,
2022,2,323,Insufficient supply of materials,37.1 ,7.2 ,,
2022,2,324,Insufficient supply of materials,29.9 ,14.3 ,,
2022,2,325,Insufficient supply of materials,47.3 ,5.3 ,,
2022,2,326,Insufficient supply of materials,37.5 ,6.0 ,,
2022,2,327,Insufficient supply of materials,21.3 ,5.6 ,,
2022,2,331,Insufficient supply of materials,15.3 ,6.1 ,,
2022,2,332,Insufficient supply of materials,35.3 ,3.6 ,,
2022,2,333,Insufficient supply of materials,55.7 ,5.1 ,,
2022,2,334,Insufficient supply of materials,63.1 ,7.1 ,,
2022,2,335,Insufficient supply of materials,65.6 ,8.5 ,,
2022,2,336,Insufficient supply of materials,54.8 ,7.5 ,,
2022,2,337,Insufficient supply of materials,49.1 ,9.5 ,,
2022,2,339,Insufficient supply of materials,43.6 ,7.5 ,,
2022,2,All,Insufficient orders,50.9 ,1.6 ,,
2022,2,311,Insufficient orders,57.6 ,4.8 ,,
2022,2,312,Insufficient orders,52.4 ,9.4 ,,
2022,2,313,Insufficient orders,62.7 ,14.0 ,,
2022,2,314,Insufficient orders,58.8 ,13.9 ,,
2022,2,315,Insufficient orders,21.6 ,11.3 ,,
2022,2,316,Insufficient orders,42.3 ,36.7 ,,
2022,2,321,Insufficient orders,36.7 ,7.2 ,,
2022,2,322,Insufficient orders,49.5 ,9.8 ,,
2022,2,323,Insufficient orders,70.1 ,6.8 ,,
2022,2,324,Insufficient orders,37.2 ,15.5 ,,
2022,2,325,Insufficient orders,51.5 ,5.4 ,,
2022,2,326,Insufficient orders,52.5 ,6.3 ,,
2022,2,327,Insufficient orders,37.4 ,7.0 ,,
2022,2,331,Insufficient orders,42.3 ,8.9 ,,
2022,2,332,Insufficient orders,56.0 ,3.8 ,,
2022,2,333,Insufficient orders,39.7 ,5.1 ,,
2022,2,334,Insufficient orders,50.9 ,7.3 ,,
2022,2,335,Insufficient orders,41.4 ,8.8 ,,
2022,2,336,Insufficient orders,50.8 ,7.6 ,,
2022,2,337,Insufficient orders,45.8 ,9.5 ,,
2022,2,339,Insufficient orders,60.1 ,7.4 ,,
2022,2,All,Insufficient supply of labor,44.7 ,1.6 ,,
2022,2,311,Insufficient supply of labor,32.2 ,4.6 ,,
2022,2,312,Insufficient supply of labor,11.3 ,5.6 ,,
2022,2,313,Insufficient supply of labor,30.3 ,12.0 ,,
2022,2,314,Insufficient supply of labor,24.7 ,11.9 ,,
2022,2,315,Insufficient supply of labor,48.5 ,15.6 ,,
2022,2,316,Insufficient supply of labor,50.1 ,36.4 ,,
2022,2,321,Insufficient supply of labor,51.4 ,7.5 ,,
2022,2,322,Insufficient supply of labor,68.9 ,7.7 ,,
2022,2,323,Insufficient supply of labor,30.4 ,6.8 ,,
2022,2,324,Insufficient supply of labor,13.0 ,11.1 ,,
2022,2,325,Insufficient supply of labor,40.5 ,5.4 ,,
2022,2,326,Insufficient supply of labor,54.6 ,6.3 ,,
2022,2,327,Insufficient supply of labor,40.9 ,7.0 ,,
2022,2,331,Insufficient supply of labor,58.9 ,9.0 ,,
2022,2,332,Insufficient supply of labor,56.6 ,3.8 ,,
2022,2,333,Insufficient supply of labor,53.4 ,5.2 ,,
2022,2,334,Insufficient supply of labor,32.1 ,6.7 ,,
2022,2,335,Insufficient supply of labor,43.5 ,8.7 ,,
2022,2,336,Insufficient supply of labor,38.9 ,7.4 ,,
2022,2,337,Insufficient supply of labor,62.5 ,9.3 ,,
2022,2,339,Insufficient supply of labor,35.9 ,7.2 ,,
2022,2,All,Logistics/transportation constraints,13.3 ,1.0 ,,
2022,2,311,Logistics/transportation constraints,14.4 ,3.3 ,,
2022,2,312,Logistics/transportation constraints,11.8 ,6.2 ,,
2022,2,313,Logistics/transportation constraints,17.6 ,9.3 ,,
2022,2,314,Logistics/transportation constraints,22.2 ,11.8 ,,
2022,2,315,Logistics/transportation constraints,D,D,,
2022,2,316,Logistics/transportation constraints,D,D,,
2022,2,321,Logistics/transportation constraints,20.9 ,5.5 ,,
2022,2,322,Logistics/transportation constraints,26.7 ,8.7 ,,
2022,2,323,Logistics/transportation constraints,5.1 ,2.7 ,,
2022,2,324,Logistics/transportation constraints,5.1 ,2.6 ,,
2022,2,325,Logistics/transportation constraints,16.9 ,3.8 ,,
2022,2,326,Logistics/transportation constraints,15.3 ,4.2 ,,
2022,2,327,Logistics/transportation constraints,14.5 ,5.0 ,,
2022,2,331,Logistics/transportation constraints,11.1 ,5.1 ,,
2022,2,332,Logistics/transportation constraints,12.6 ,2.5 ,,
2022,2,333,Logistics/transportation constraints,11.6 ,3.0 ,,
2022,2,334,Logistics/transportation constraints,10.1 ,4.4 ,,
2022,2,335,Logistics/transportation constraints,12.6 ,4.4 ,,
2022,2,336,Logistics/transportation constraints,14.3 ,5.0 ,,
2022,2,337,Logistics/transportation constraints,24.7 ,8.3 ,,
2022,2,339,Logistics/transportation constraints,1.0 ,0.6 ,,
2022,2,All,Sufficient inventory of finished goods,5.1 ,0.7 ,,
2022,2,311,Sufficient inventory of finished goods,4.6 ,1.8 ,,
2022,2,312,Sufficient inventory of finished goods,12.7 ,6.3 ,,
2022,2,313,Sufficient inventory of finished goods,22.6 ,13.5 ,,
2022,2,314,Sufficient inventory of finished goods,D,D,,
2022,2,315,Sufficient inventory of finished goods,D,D,,
2022,2,316,Sufficient inventory of finished goods,D,D,,
2022,2,321,Sufficient inventory of finished goods,2.7 ,1.5 ,,
2022,2,322,Sufficient inventory of finished goods,2.5 ,1.5 ,,
2022,2,323,Sufficient inventory of finished goods,0.0 ,0.0 ,,
2022,2,324,Sufficient inventory of finished goods,1.7 ,1.0 ,,
2022,2,325,Sufficient inventory of finished goods,12.9 ,3.7 ,,
2022,2,326,Sufficient inventory of finished goods,5.9 ,2.5 ,,
2022,2,327,Sufficient inventory of finished goods,6.6 ,3.7 ,,
2022,2,331,Sufficient inventory of finished goods,1.0 ,0.6 ,,
2022,2,332,Sufficient inventory of finished goods,2.4 ,1.1 ,,
2022,2,333,Sufficient inventory of finished goods,6.5 ,2.7 ,,
2022,2,334,Sufficient inventory of finished goods,5.3 ,3.1 ,,
2022,2,335,Sufficient inventory of finished goods,7.7 ,4.7 ,,
2022,2,336,Sufficient inventory of finished goods,3.0 ,2.7 ,,
2022,2,337,Sufficient inventory of finished goods,D,D,,
2022,2,339,Sufficient inventory of finished goods,7.5 ,3.7 ,,
2022,1,All,Not profitable to operate at full capacity,8.5,0.9,,
2022,1,311,Not profitable to operate at full capacity,10.8,3.1,,
2022,1,312,Not profitable to operate at full capacity,17.1,6.9,,
2022,1,313,Not profitable to operate at full capacity,D,D,,
2022,1,314,Not profitable to operate at full capacity,D,D,,
2022,1,315,Not profitable to operate at full capacity,11,6.7,,
2022,1,316,Not profitable to operate at full capacity,D,D,,
2022,1,321,Not profitable to operate at full capacity,8.1,3.6,,
2022,1,322,Not profitable to operate at full capacity,18.6,7.8,,
2022,1,323,Not profitable to operate at full capacity,D,D,,
2022,1,324,Not profitable to operate at full capacity,2,1.4,,
2022,1,325,Not profitable to operate at full capacity,14.7,4,,
2022,1,326,Not profitable to operate at full capacity,6.5,3.1,,
2022,1,327,Not profitable to operate at full capacity,5.6,3,,
2022,1,331,Not profitable to operate at full capacity,7,4.5,,
2022,1,332,Not profitable to operate at full capacity,9.7,2.3,,
2022,1,333,Not profitable to operate at full capacity,6,2.5,,
2022,1,334,Not profitable to operate at full capacity,5,2.8,,
2022,1,335,Not profitable to operate at full capacity,5.6,4,,
2022,1,336,Not profitable to operate at full capacity,0.9,0.5,,
2022,1,337,Not profitable to operate at full capacity,10.4,5.9,,
2022,1,339,Not profitable to operate at full capacity,9.6,4.1,,
2022,1,All,Insufficient supply of materials,39.2,1.5,,
2022,1,311,Insufficient supply of materials,30.5,4.6,,
2022,1,312,Insufficient supply of materials,17.2,6.7,,
2022,1,313,Insufficient supply of materials,37.7,12.9,,
2022,1,314,Insufficient supply of materials,12,10.5,,
2022,1,315,Insufficient supply of materials,40.6,18.4,,
2022,1,316,Insufficient supply of materials,16.7,19.7,,
2022,1,321,Insufficient supply of materials,34,7,,
2022,1,322,Insufficient supply of materials,47.4,9.9,,
2022,1,323,Insufficient supply of materials,56.5,7.1,,
2022,1,324,Insufficient supply of materials,25.5,13.5,,
2022,1,325,Insufficient supply of materials,40.9,5.5,,
2022,1,326,Insufficient supply of materials,43.1,6.1,,
2022,1,327,Insufficient supply of materials,11.9,4.5,,
2022,1,331,Insufficient supply of materials,15.4,7.2,,
2022,1,332,Insufficient supply of materials,35.1,3.6,,
2022,1,333,Insufficient supply of materials,57.1,5.5,,
2022,1,334,Insufficient supply of materials,55.1,7.4,,
2022,1,335,Insufficient supply of materials,57.3,9,,
2022,1,336,Insufficient supply of materials,47.6,7.5,,
2022,1,337,Insufficient supply of materials,40.5,9,,
2022,1,339,Insufficient supply of materials,43,7.1,,
2022,1,All,Insufficient orders,48.3,1.6,,
2022,1,311,Insufficient orders,49.0,5.0,,
2022,1,312,Insufficient orders,50.4,9.1,,
2022,1,313,Insufficient orders,61.5,12.7,,
2022,1,314,Insufficient orders,71.1,14.0,,
2022,1,315,Insufficient orders,27.5,11.8,,
2022,1,316,Insufficient orders,28.0,33.8,,
2022,1,321,Insufficient orders,28.7,7.2,,
2022,1,322,Insufficient orders,34.5,9.6,,
2022,1,323,Insufficient orders,65.5,6.7,,
2022,1,324,Insufficient orders,37.6,14.7,,
2022,1,325,Insufficient orders,39.8,5.5,,
2022,1,326,Insufficient orders,37.4,5.9,,
2022,1,327,Insufficient orders,31.8,6.9,,
2022,1,331,Insufficient orders,30.8,8.3,,
2022,1,332,Insufficient orders,59.0,3.8,,
2022,1,333,Insufficient orders,43.6,5.5,,
2022,1,334,Insufficient orders,53.8,7.3,,
2022,1,335,Insufficient orders,59.2,8.7,,
2022,1,336,Insufficient orders,43.9,7.6,,
2022,1,337,Insufficient orders,31.9,8.9,,
2022,1,339,Insufficient orders,60.0,7.1,,
2022,1,All,Insufficient supply of labor,45.2,1.6,,
2022,1,311,Insufficient supply of labor,38.9,4.9,,
2022,1,312,Insufficient supply of labor,10.1,5.2,,
2022,1,313,Insufficient supply of labor,44.3,13.0,,
2022,1,314,Insufficient supply of labor,38.2,15.5,,
2022,1,315,Insufficient supply of labor,70.1,12.7,,
2022,1,316,Insufficient supply of labor,76.0,29.1,,
2022,1,321,Insufficient supply of labor,48.7,7.7,,
2022,1,322,Insufficient supply of labor,64.5,9.0,,
2022,1,323,Insufficient supply of labor,37.0,6.8,,
2022,1,324,Insufficient supply of labor,7.1,4.6,,
2022,1,325,Insufficient supply of labor,41.3,5.6,,
2022,1,326,Insufficient supply of labor,56.4,6.1,,
2022,1,327,Insufficient supply of labor,33.3,7.1,,
2022,1,331,Insufficient supply of labor,56.1,9.2,,
2022,1,332,Insufficient supply of labor,53.0,3.8,,
2022,1,333,Insufficient supply of labor,55.1,5.5,,
2022,1,334,Insufficient supply of labor,29.0,6.8,,
2022,1,335,Insufficient supply of labor,50.8,9.0,,
2022,1,336,Insufficient supply of labor,43.5,7.6,,
2022,1,337,Insufficient supply of labor,46.4,9.3,,
2022,1,339,Insufficient supply of labor,45.6,7.1,,
2022,1,All,Logistics/transportation constraints,14.7,1.1,,
2022,1,311,Logistics/transportation constraints,13.8,3.3,,
2022,1,312,Logistics/transportation constraints,11.8,5.9,,
2022,1,313,Logistics/transportation constraints,11.1,5.3,,
2022,1,314,Logistics/transportation constraints,5.9,4.0,,
2022,1,315,Logistics/transportation constraints,D,D,,
2022,1,316,Logistics/transportation constraints,D,D,,
2022,1,321,Logistics/transportation constraints,13.9,4.3,,
2022,1,322,Logistics/transportation constraints,25.4,8.8,,
2022,1,323,Logistics/transportation constraints,4.4,2.5,,
2022,1,324,Logistics/transportation constraints,3.9,1.8,,
2022,1,325,Logistics/transportation constraints,26.2,4.9,,
2022,1,326,Logistics/transportation constraints,27.9,5.6,,
2022,1,327,Logistics/transportation constraints,11.1,4.4,,
2022,1,331,Logistics/transportation constraints,10.8,5.6,,
2022,1,332,Logistics/transportation constraints,15.4,2.7,,
2022,1,333,Logistics/transportation constraints,11.5,3.1,,
2022,1,334,Logistics/transportation constraints,12.0,4.8,,
2022,1,335,Logistics/transportation constraints,21.4,6.8,,
2022,1,336,Logistics/transportation constraints,14.6,5.2,,
2022,1,337,Logistics/transportation constraints,10.4,5.0,,
2022,1,339,Logistics/transportation constraints,7.1,3.4,,
2022,1,All,Sufficient inventory of finished goods,4.7,0.6,,
2022,1,311,Sufficient inventory of finished goods,5.5,2.2,,
2022,1,312,Sufficient inventory of finished goods,15.6,6.6,,
2022,1,313,Sufficient inventory of finished goods,4.5,2.3,,
2022,1,314,Sufficient inventory of finished goods,D,D,,
2022,1,315,Sufficient inventory of finished goods,D,D,,
2022,1,316,Sufficient inventory of finished goods,0.0,0.0,,
2022,1,321,Sufficient inventory of finished goods,2.2,1.1,,
2022,1,322,Sufficient inventory of finished goods,10.0,5.8,,
2022,1,323,Sufficient inventory of finished goods,D,D,,
2022,1,324,Sufficient inventory of finished goods,D,D,,
2022,1,325,Sufficient inventory of finished goods,12.1,3.6,,
2022,1,326,Sufficient inventory of finished goods,4.8,2.4,,
2022,1,327,Sufficient inventory of finished goods,9.7,4.3,,
2022,1,331,Sufficient inventory of finished goods,7.4,4.6,,
2022,1,332,Sufficient inventory of finished goods,2.7,1.2,,
2022,1,333,Sufficient inventory of finished goods,3.5,1.9,,
2022,1,334,Sufficient inventory of finished goods,1.1,0.5,,
2022,1,335,Sufficient inventory of finished goods,D,D,,
2022,1,336,Sufficient inventory of finished goods,D,D,,
2022,1,337,Sufficient inventory of finished goods,0.0,0.0,,
2022,1,339,Sufficient inventory of finished goods,4.5,2.4,,
2022,1,All,Other (actual production less than full production),12.5,1.0,,
2022,1,311,Other (actual production less than full production),7.0,2.4,,
2022,1,312,Other (actual production less than full production),15.8,6.7,,
2022,1,313,Other (actual production less than full production),8.5,5.4,,
2022,1,314,Other (actual production less than full production),D,D,,
2022,1,315,Other (actual production less than full production),D,D,,
2022,1,316,Other (actual production less than full production),D,D,,
2022,1,321,Other (actual production less than full production),19.5,6.2,,
2022,1,322,Other (actual production less than full production),11.6,6.2,,
2022,1,323,Other (actual production less than full production),10.5,4.4,,
2022,1,324,Other (actual production less than full production),29.6,13.7,,
2022,1,325,Other (actual production less than full production),20.4,4.6,,
2022,1,326,Other (actual production less than full production),10.0,3.7,,
2022,1,327,Other (actual production less than full production),21.1,6.1,,
2022,1,331,Other (actual production less than full production),11.3,5.6,,
2022,1,332,Other (actual production less than full production),12.7,2.5,,
2022,1,333,Other (actual production less than full production),3.6,1.5,,
2022,1,334,Other (actual production less than full production),18.2,5.7,,
2022,1,335,Other (actual production less than full production),2.8,1.6,,
2022,1,336,Other (actual production less than full production),21.9,6.3,,
2022,1,337,Other (actual production less than full production),11.5,6.2,,
2022,1,339,Other (actual production less than full production),11.0,4.5,,
2022,1,All,Equipment limitations,9.9,0.9,,
2022,1,311,Equipment limitations,12.1,3.3,,
2022,1,312,Equipment limitations,D,D,,
2022,1,313,Equipment limitations,4.8,3.3,,
2022,1,314,Equipment limitations,0.0,0.0,,
2022,1,315,Equipment limitations,D,D,,
2022,1,316,Equipment limitations,0.0,0.0,,
2022,1,321,Equipment limitations,5.7,3.3,,
2022,1,322,Equipment limitations,19.1,6.6,,
2022,1,323,Equipment limitations,4.7,2.7,,
2022,1,324,Equipment limitations,2.7,1.0,,
2022,1,325,Equipment limitations,14.8,3.9,,
2022,1,326,Equipment limitations,13.9,4.2,,
2022,1,327,Equipment limitations,10.0,4.0,,
2022,1,331,Equipment limitations,19.1,6.4,,
2022,1,332,Equipment limitations,12.1,2.5,,
2022,1,333,Equipment limitations,12.6,3.6,,
2022,1,334,Equipment limitations,6.7,3.6,,
2022,1,335,Equipment limitations,9.0,4.5,,
2022,1,336,Equipment limitations,5.5,3.1,,
2022,1,337,Equipment limitations,8.6,4.9,,
2022,1,339,Equipment limitations,D,D,,
2022,1,All,Storage limitations,6.9,0.8,,
2022,1,311,Storage limitations,10.6,3.2,,
2022,1,312,Storage limitations,10.4,5.8,,
2022,1,313,Storage limitations,3.7,2.2,,
2022,1,314,Storage limitations,D,D,,
2022,1,315,Storage limitations,D,D,,
2022,1,316,Storage limitations,0.0,0.0,,
2022,1,321,Storage limitations,14.6,5.6,,
2022,1,322,Storage limitations,4.8,3.9,,
2022,1,323,Storage limitations,D,D,,
2022,1,324,Storage limitations,D,D,,
2022,1,325,Storage limitations,9.9,3.3,,
2022,1,326,Storage limitations,4.7,2.1,,
2022,1,327,Storage limitations,0.8,0.4,,
2022,1,331,Storage limitations,D,D,,
2022,1,332,Storage limitations,6.8,1.9,,
2022,1,333,Storage limitations,9.3,3.3,,
2022,1,334,Storage limitations,D,D,,
2022,1,335,Storage limitations,12.6,6.2,,
2022,1,336,Storage limitations,D,D,,
2022,1,337,Storage limitations,7.6,4.7,,
2022,1,339,Storage limitations,8.7,4.0,,
2022,1,All,Sufficient inventory of finished goods,4.7,0.6,,
2022,1,311,Sufficient inventory of finished goods,5.5,2.2,,
2022,1,312,Sufficient inventory of finished goods,15.6,6.6,,
2022,1,313,Sufficient inventory of finished goods,4.5,2.3,,
2022,1,314,Sufficient inventory of finished goods,D,D,,
2022,1,315,Sufficient inventory of finished goods,D,D,,
2022,1,316,Sufficient inventory of finished goods,0.0,0.0,,
2022,1,321,Sufficient inventory of finished goods,2.2,1.1,,
2022,1,322,Sufficient inventory of finished goods,10.0,5.8,,
2022,1,323,Sufficient inventory of finished goods,D,D,,
2022,1,324,Sufficient inventory of finished goods,D,D,,
2022,1,325,Sufficient inventory of finished goods,12.1,3.6,,
2022,1,326,Sufficient inventory of finished goods,4.8,2.4,,
2022,1,327,Sufficient inventory of finished goods,9.7,4.3,,
2022,1,331,Sufficient inventory of finished goods,7.4,4.6,,
2022,1,332,Sufficient inventory of finished goods,2.7,1.2,,
2022,1,333,Sufficient inventory of finished goods,3.5,1.9,,
2022,1,334,Sufficient inventory of finished goods,1.1,0.5,,
2022,1,335,Sufficient inventory of finished goods,D,D,,
2022,1,336,Sufficient inventory of finished goods,D,D,,
2022,1,337,Sufficient inventory of finished goods,0.0,0.0,,
2022,1,339,Sufficient inventory of finished goods,4.5,2.4,,
2022,1,All,Seasonal operations,7.1,0.8,,
2022,1,311,Seasonal operations,20.0,4.0,,
2022,1,312,Seasonal operations,23.0,7.7,,
2022,1,313,Seasonal operations,D,D,,
2022,1,314,Seasonal operations,D,D,,
2022,1,315,Seasonal operations,6.3,4.6,,
2022,1,316,Seasonal operations,0.0,0.0,,
2022,1,321,Seasonal operations,11.4,4.9,,
2022,1,322,Seasonal operations,6.4,5.1,,
2022,1,323,Seasonal operations,8.1,3.8,,
2022,1,324,Seasonal operations,12.4,10.5,,
2022,1,325,Seasonal operations,5.2,2.2,,
2022,1,326,Seasonal operations,2.5,1.4,,
2022,1,327,Seasonal operations,21.6,6.2,,
2022,1,331,Seasonal operations,9.3,5.7,,
2022,1,332,Seasonal operations,1.4,0.9,,
2022,1,333,Seasonal operations,5.9,2.6,,
2022,1,334,Seasonal operations,1.6,1.1,,
2022,1,335,Seasonal operations,D,D,,
2022,1,336,Seasonal operations,2.5,2.1,,
2022,1,337,Seasonal operations,3.6,2.5,,
2022,1,339,Seasonal operations,D,D,,
2022,1,All,Building capital expenditures,3.7,0.7,,
2022,1,311,Building capital expenditures,2.7,1.7,,
2022,1,312,Building capital expenditures,D,D,,
2022,1,313,Building capital expenditures,0.0,0.0,,
2022,1,314,Building capital expenditures,D,D,,
2022,1,315,Building capital expenditures,0.0,0.0,,
2022,1,316,Building capital expenditures,0.0,0.0,,
2022,1,321,Building capital expenditures,2.2,1.4,,
2022,1,322,Building capital expenditures,D,D,,
2022,1,323,Building capital expenditures,D,D,,
2022,1,324,Building capital expenditures,0.0,0.0,,
2022,1,325,Building capital expenditures,2.6,1.4,,
2022,1,326,Building capital expenditures,4.1,2.7,,
2022,1,327,Building capital expenditures,D,D,,
2022,1,331,Building capital expenditures,D,D,,
2022,1,332,Building capital expenditures,2.4,1.4,,
2022,1,333,Building capital expenditures,8.8,3.5,,
2022,1,334,Building capital expenditures,9.3,5.7,,
2022,1,335,Building capital expenditures,D,D,,
2022,1,336,Building capital expenditures,7.9,5.2,,
2022,1,337,Building capital expenditures,D,D,,
2022,1,339,Building capital expenditures,D,D,,
2022,1,All,Machinery capital expenditures,14.7,1.3,,
2022,1,311,Machinery capital expenditures,10.4,3.4,,
2022,1,312,Machinery capital expenditures,D,D,,
2022,1,313,Machinery capital expenditures,D,D,,
2022,1,314,Machinery capital expenditures,D,D,,
2022,1,315,Machinery capital expenditures,0.0,0.0,,
2022,1,316,Machinery capital expenditures,0.0,0.0,,
2022,1,321,Machinery capital expenditures,6.7,3.6,,
2022,1,322,Machinery capital expenditures,17.5,8.2,,
2022,1,323,Machinery capital expenditures,17.9,7.4,,
2022,1,324,Machinery capital expenditures,D,D,,
2022,1,325,Machinery capital expenditures,12.5,4.4,,
2022,1,326,Machinery capital expenditures,22.3,6.1,,
2022,1,327,Machinery capital expenditures,8.6,4.3,,
2022,1,331,Machinery capital expenditures,4.2,2.0,,
2022,1,332,Machinery capital expenditures,24.0,3.9,,
2022,1,333,Machinery capital expenditures,12.9,4.1,,
2022,1,334,Machinery capital expenditures,9.9,5.8,,
2022,1,335,Machinery capital expenditures,29.2,10.5,,
2022,1,336,Machinery capital expenditures,16.3,7.0,,
2022,1,337,Machinery capital expenditures,14.6,6.7,,
2022,1,339,Machinery capital expenditures,15.7,6.1,,
2022,1,All,Building retirements,0.7,0.3,,
2022,1,311,Building retirements,0.0,0.0,,
2022,1,312,Building retirements,0.0,0.0,,
2022,1,313,Building retirements,0.0,0.0,,
2022,1,314,Building retirements,0.0,0.0,,
2022,1,315,Building retirements,D,D,,
2022,1,316,Building retirements,0.0,0.0,,
2022,1,321,Building retirements,D,D,,
2022,1,322,Building retirements,0.0,0.0,,
2022,1,323,Building retirements,D,D,,
2022,1,324,Building retirements,0.0,0.0,,
2022,1,325,Building retirements,0.0,0.0,,
2022,1,326,Building retirements,0.0,0.0,,
2022,1,327,Building retirements,0.0,0.0,,
2022,1,331,Building retirements,0.0,0.0,,
2022,1,332,Building retirements,D,D,,
2022,1,333,Building retirements,D,D,,
2022,1,334,Building retirements,D,D,,
2022,1,335,Building retirements,0.0,0.0,,
2022,1,336,Building retirements,0.0,0.0,,
2022,1,337,Building retirements,0.0,0.0,,
2022,1,339,Building retirements,D,D,,
2022,1,All,Machinery retirements,1.5,0.4,,
2022,1,311,Machinery retirements,D,D,,
2022,1,312,Machinery retirements,D,D,,
2022,1,313,Machinery retirements,0.0,0.0,,
2022,1,314,Machinery retirements,0.0,0.0,,
2022,1,315,Machinery retirements,D,D,,
2022,1,316,Machinery retirements,0.0,0.0,,
2022,1,321,Machinery retirements,D,D,,
2022,1,322,Machinery retirements,D,D,,
